id	B-cells	CD4+ T-cells	CD4+ Tcm	CD4+ memory T-cells	CD4+ naive T-cells	CD8+ T-cells	CD8+ Tcm	CD8+ Tem	CD8+ naive T-cells	Memory B-cells	NK cells	NKT	Th2 cells	naive B-cells	pro B-cells
GSM1594557	0.107	0	0	0	0	0	0	0	0	0.0334	0	0.144	0.0134	0.0478	0.0397
GSM1594558	0.0729	0.0313	0.0113	0.0115	0.044	0.0759	0.0939	0.0046	0.0058	0.026	0.0162	0.0394	0.0268	0.0311	0
GSM1594559	0.1868	0.0176	0.0291	0.0013	0	0.095	0.0962	0.0118	0.013	0.0535	0	0.0547	0	0.0687	0.0129
GSM1594560	0.0134	0.0038	0.0134	0	0.0224	0.0191	0.016	0	0	0	0	0.079	0.0214	0.0082	0.0061
GSM1594561	0.0307	0.0098	0.0112	0	0.0156	0.0388	0.0588	0	0.0013	0.001	0	0.0749	0.0114	0.014	0
GSM1594562	0.014	0	0	0	0	0	0	0	0	0.0067	0	0.0192	0.0409	0.0067	0.0341
GSM1594563	0.0423	0.0106	2.00E-04	0.0014	0.0139	0.0455	0.0491	0	0	0.0055	0	0.0409	0.0565	0.0201	0.0083
GSM1594564	0.0943	0	0	0	0	7.00E-04	0.0292	0	3.00E-04	0.0188	0	0.1214	0	0.0532	0
GSM1594565	0.0322	0	0	0	0	0.0286	0.0694	0	0.0088	0.0123	0	0.0408	0.0216	0.022	0.0219
GSM1594566	0.0732	0.0211	0.0295	8.00E-04	0.0158	0.0469	0.0403	0	0.0091	0.0204	0	0.0974	0.0074	0.0228	0.0086
GSM1594567	0.0196	0	0.0018	0	0.0116	0.0102	0.0246	0	0	0	0	0.0649	0.0187	0	0.0287
GSM1594568	0.1353	0	0	0	0	0	0	0	0	0.0328	0	0.0256	0.0193	0.059	0.0765
GSM1594569	0.088	0	0.0142	0	0	0.0397	0.0371	0	0.0082	0.0224	0	0.0466	0	0.0245	0.0245
GSM1594570	0.1044	0.0174	0	0.0048	0.0115	0.0684	0.0789	0.0016	0.001	0.0273	0	0.0423	0.0479	0.0492	0.0086
GSM1594571	0.2897	9.00E-04	0	0	0	0.044	0.061	0	0.0049	0.0732	0	0.0527	7.00E-04	0.1268	0.025
GSM1594572	0	0	0	0	0	0	0	0	0	0	0	0.1321	0	0.0082	0.0047
GSM1594573	0.0982	0.0265	0.0067	0.0084	0.0248	0.0636	0.0784	0	0.0054	0.0285	0	0.0289	0.0046	0.041	0.0075
GSM1594605	0.1302	0.0344	0.0271	0.01	0.0319	0.1049	0.1062	0.015	0.0085	0.0382	0	0.0293	0.018	0.0406	0.0094
GSM1594606	0.1226	0.0097	0.0041	0	0.0068	0.0903	0.0886	0.0059	0.0045	0.0371	0	0.034	0	0.0497	0.0134
GSM1594607	0.0662	0	0.007	0	0.002	0.0422	0.0452	0	0.0048	0.0235	0	0.0766	0.0029	0.0217	0.0012
GSM1594608	0.0876	0.0058	0	0.0037	0.0085	0.03	0.0531	0	1.00E-04	0.0238	0	0.0496	0	0.0238	0.0053
