id	B-cells	CD4+ T-cells	CD4+ Tcm	CD4+ memory T-cells	CD4+ naive T-cells	CD8+ T-cells	CD8+ Tcm	CD8+ Tem	CD8+ naive T-cells	Memory B-cells	NK cells	NKT	Th2 cells	naive B-cells	pro B-cells
GSM1594737	0.1251	0.0047	0.0163	0	0.0091	0.0431	0.0458	0	0	0.0456	0	0.0409	0	0.0412	0.0254
GSM1594738	0.1482	0.0124	0.0338	0.0045	0.0011	0.0481	0.0511	0.0044	0.0089	0.0509	0	0.0271	0	0.056	0.015
GSM1594739	0.0074	0	0	0	0	0	0	0	0	0	0	0.0927	0	0.0108	0
GSM1594740	0.1875	0.0478	0.019	0.0239	0.0306	0.0604	0.0791	0.0071	0.0076	0.0563	0	0.0071	0.0081	0.0596	0.0207
GSM1594741	0.0712	0	0.0087	0	0.016	0.073	0.0928	0	0.0063	0.0236	0	0.0655	0	0.026	0
GSM1594742	0.1199	0.0301	0.0257	0.0068	0.0328	0.0664	0.0549	0.009	0.0072	0.0393	0	0.0174	0.0039	0.0481	0.0162
GSM1594743	0.0845	0.0119	0.0165	0.0028	0.0049	0.0469	0.0678	0	4.00E-04	0.025	0	0.0669	0.0219	0.0278	0
GSM1594744	0.0285	0.0044	0.0107	0	0.0124	0.0315	0.046	0	0	0.0064	0	0.0955	0.0057	0.0102	0
GSM1594745	0.0598	0	0	0	7.00E-04	0.0046	0.026	0	0	0.0194	0	0.1052	0	0.0112	0
GSM1594746	0.1447	0.0253	0.0038	0.0064	0.048	0.0715	0.0705	0.0239	0	0.0425	0	0.0271	0	0.0508	0.0183
GSM1594747	0.0382	0	0	0	0	0.0182	0.0429	0	0.0012	0.0207	0	0.0697	0	0.0145	0
GSM1594748	0.0292	0.0055	0.0029	0	0.0161	0.0592	0.0533	0	0.0024	0.0107	0	0.0434	0	0.0096	0
GSM1594749	0.1166	0.0069	0.002	7.00E-04	0.009	0.0428	0.0721	0	0.0063	0.0338	0	0.0685	0	0.0399	0.0132
GSM1594750	0.1224	0.0161	0.0141	0.0024	0.0119	0.0713	0.0681	0.0055	0.0068	0.0419	0	0.0452	0	0.0386	0.0209
GSM1594751	0.128	0.0232	0	0.0033	0.0222	0.1104	0.1008	0.0321	0.0037	0.0395	0.0044	0.0935	0	0.0492	0.0086
GSM1594752	0.0458	0.0012	0	0	0	0.0776	0.0872	0.0249	0.0097	0.0144	0.0016	0.0802	0.0316	0.0126	0
GSM1594753	0.2204	0.0329	0.023	0.0246	0.0049	0.0993	0.1202	0.0378	0.0093	0.0674	0.0036	0.001	0.0826	0.0495	0.0288
GSM1594754	0.0425	0	0	0	0	0.0148	0.0498	0	0.0025	0.0223	0	0.0527	0	0.0118	0.0024
GSM1594755	0.1642	0.0584	0.0343	0.0199	0.0477	0.131	0.1179	0.0094	0.009	0.0596	0	0.0042	0	0.0579	0.023
GSM1594756	0.2328	0.0166	0.0202	0.0053	0.0113	0.0272	0.042	0	0.0027	0.0846	0	0.0107	0	0.098	0.0414
GSM1594757	0.0493	0	0	0	0	0.0088	0.0323	0	0	0.0196	0	0.056	0	0.0193	0.0093
GSM1594758	0.0933	0.0075	0.0113	0.0015	0.0154	0.0472	0.0545	0	0	0.0314	0	0.0342	0.0114	0.0289	0.0069
GSM1594759	0.0941	0.0313	0.0362	0.0101	0.0298	0.0944	0.0927	0.0145	0.0038	0.0392	8.00E-04	0.0365	0.0055	0.0313	0.0058
GSM1594760	0.0934	0.0213	0.0253	0.0092	0.0065	0.0995	0.0971	0.015	0.01	0.0291	0	0.0243	0	0.0344	0.0124
GSM1594761	0.1101	0	0	0	0.0044	0.0168	0.0293	0	0.002	0.0378	0	0.0725	0	0.036	0.0092
GSM1594762	0.024	0	0	0	0	0	0.0073	0	0	0.0027	0	0.0685	0	0.0081	0.0049
GSM1594763	0.0197	0	0.003	0	0	0.0201	0.0291	0	0.0015	0.0038	0	0.0789	0.0064	0.0063	0
GSM1594764	0.1563	0.0025	0.006	0	0.0164	0.038	0.0453	0	8.00E-04	0.0379	0	0.066	0	0.0518	0.0148
GSM1594765	0.1184	0.0379	0.0463	0.0194	0.0106	0.0808	0.1045	0.0088	0.0114	0.0394	0	0.0444	0.006	0.0391	0.0149
GSM1594766	0.1719	0.0065	0.0235	0	0.0125	0.0239	0.0336	0	0.0058	0.0571	0	0.0486	0	0.0612	0.0104
GSM1594767	0.08	0.0085	0	0	0.0126	0.0356	0.0467	0	8.00E-04	0.0272	0	0.0429	5.00E-04	0.0248	0.0114
GSM1594768	0.1162	0.0074	0.0193	0	0	0.0398	0.0518	0	0.002	0.0395	0	0.082	0	0.0316	0.0083
GSM1594769	0.1315	0.0102	0	0	0	0.1285	0.1392	0.0396	0.0134	0.041	0	0.0278	0	0.0647	0.0113
GSM1594770	0.2003	0.0275	0.0301	0.0113	0.0224	0.1309	0.1288	0.0417	0.0086	0.0595	0.014	0.0026	0	0.0816	0.0201
GSM1594771	0.0107	0	0	0	0	0.0084	0.0351	0	0	0.0023	0	0.085	0	0.0058	0
GSM1594772	0.2019	0.0139	0	0.0035	0.0211	0.0936	0.1038	0.0185	0.0022	0.0698	0	0.0202	0.0099	0.0712	0.0235
GSM1594773	0.0901	0.0255	0.0484	0.0011	0.0187	0.0686	0.0721	0	0.0012	0.0293	0	0.096	0	0.0216	0
GSM1594774	0.0544	0.0025	0.0232	0.002	0	0.0529	0.0404	0	0	0.0069	0	0.0192	0.0025	0.0163	0.0037
GSM1594775	0.0741	0	0	0	0	0.0051	0.0331	0	0	0.0193	0	0.0978	0	0.0262	0.0051
GSM1594776	0.1102	0.014	0.0317	0.006	0.0111	0.0915	0.103	0.0052	0.0076	0.0333	0	0.0158	0	0.0299	0.0253
GSM1594777	0.072	0.0104	0.0315	0	0	0.0684	0.0709	0.0035	0.0035	0.0294	0	0.0313	0.0644	0.0327	0
GSM1594778	0.0682	0.0231	0.047	0.0046	0.0266	0.0587	0.071	0	0.0025	0.0367	0	0.0556	0	0.0178	0
GSM1594779	0.2222	0.0125	0.0125	3.00E-04	0.0115	0.0762	0.0639	0.0112	0.0101	0.0725	0	0.0401	0	0.0945	0.0308
GSM1594780	0.1085	0	0	0	0	0.0127	0.029	0	0	0.0277	0	0.0482	0	0.0314	0.0193
GSM1594781	0.0379	0	0.0227	0	0	0.1046	0.1187	0.019	0.0033	0.0229	0	0.0459	0.0117	0.0188	0
GSM1594782	0.2465	6.00E-04	0.0234	0	0.0013	0.0413	0.0494	0	0	0.0891	0	0.029	0	0.097	0.0262
GSM1594783	0.167	0.0442	0.0223	0.0211	0.0302	0.1089	0.114	0.0208	0.0092	0.0433	0	0.0283	0	0.0685	0.0198
GSM1594784	0.2323	0.0485	0.0363	0.0212	0.0576	0.099	0.0958	0	0.0056	0.0743	0	0.0032	0.0017	0.0838	0.0291
GSM1594785	0.0875	0.0039	0.0032	0	0.0273	0.0482	0.052	0	0.0063	0.0429	0	0.0886	0.0019	0.0266	0.0043
GSM1594786	0.2011	0.0273	0	0.0058	0.0158	0.0764	0.0931	0.0261	0.0047	0.0686	0	0.0251	0.0089	0.0474	0.036
GSM1594787	0.0751	0	0.0092	0	4.00E-04	0.0834	0.0803	0	0	0.0228	0	0.0316	0.0076	0.0316	0.0051
GSM1594788	0.1779	0.019	0.0323	6.00E-04	0.0325	0.0792	0.0948	0	0.0114	0.0694	0	0.0366	0.0088	0.056	0.0131
GSM1594789	0.0919	0.0289	0.0342	0.0034	0.0142	0.0884	0.0933	0.03	0.0056	0.0324	0	0.0142	0	0.0305	0.0122
GSM1594790	0.1176	0.0173	0.0092	0	0.0241	0.0502	0.0501	0	0.0048	0.0302	0	0.0581	0	0.0456	0.008
GSM1594791	0.1375	0.0312	0.0327	0	0.0353	0.1193	0.0894	0	0.0152	0.0492	0	0.0511	0	0.0527	0.0136
GSM1594792	0.1688	0.0117	0.02	0.002	0.0294	0.0377	0.0313	0	0	0.065	0	0.0573	0	0.0539	0.0214
GSM1594793	0.0407	0	1.00E-04	0	0.0138	0.0351	0.0408	0	0	0.0077	0	0.0935	0.0127	0.0128	0
GSM1594794	0.075	0.0098	0.0057	0	0.0242	0.1286	0.1347	0.0228	0.0064	0.0195	0	0.0456	0	0.0201	0.0018
GSM1594795	0.0963	0.0075	0	0	0.0046	0.0831	0.1114	0	0.007	0.0272	0	0.1056	0.0349	0.0188	0.0055
GSM1594796	0.2125	0.005	0.0081	0	0	0.0182	0.0381	0	0.0015	0.0746	0	0.0355	0	0.0504	0.0417
GSM1594797	0.0454	0	0.0099	0	0	0.0385	0.0482	0	0	0.0096	0	0.0386	0	0.0191	0
GSM1594798	0.1077	0.0103	0.017	0	0.01	0.0646	0.0714	0	0.0047	0.0367	0	0.0186	0	0.0479	0.0095
GSM1594799	0.1475	0.0531	0.0334	0.0131	0.0605	0.1414	0.1164	0.0061	0.0117	0.0479	0	0.0213	0	0.0486	0.0202
GSM1594800	0.0223	0	0	0	0	0.0431	0.0652	0.006	2.00E-04	0.005	0	0.1084	0	0.0081	0
GSM1594801	0.0411	0.0071	0.0088	0	0.0129	0.0482	0.0721	0	0.0057	0.0155	0	0.0855	0	0.0094	0
GSM1594802	0.2601	0.0115	9.00E-04	0.0035	0.0069	0.0604	0.0876	0.009	0.0044	0.0833	0	0.031	0.0189	0.0917	0.0297
GSM1594803	0.2454	0.0098	0	0.0015	0.0021	0.0519	0.0638	0.0067	0.0076	0.0764	0	0.02	0	0.0973	0.0315
GSM1594804	0.2423	0.0215	0.0165	0	0.0238	0.072	0.0593	0.0054	0.0046	0.0802	0	0.0246	0.0014	0.0841	0.0253
GSM1594805	0.067	0.0013	0	2.00E-04	0.0051	0.0387	0.041	0	0.003	0.0225	0	0.0636	0.0125	0.0148	8.00E-04
GSM1594806	0.3178	0.0154	0	0.004	0.006	0.0473	0.0646	0	0	0.1023	0	0.0054	0.0017	0.1106	0.037
GSM1594807	0.1361	0.045	0.0428	4.00E-04	0.0472	0.1284	0.1203	0.0174	0.0091	0.0384	0	0.0325	0	0.0388	0.0163
GSM1594808	0.0928	0.0199	0.0159	0.0052	0.0175	0.0919	0.1086	0.0301	0.003	0.0244	0.001	0.0394	0.0098	0.022	0.0024
GSM1594809	0.2846	0.0207	0.0128	0	0.0205	0.0612	0.063	0.0052	0.0047	0.0977	0	0.0158	0	0.1236	0.036
GSM1594810	0.1553	0.0171	0.0161	0	0	0.0747	0.1139	0	0.0061	0.0596	0	0.0695	0.0665	0.0147	0.0234
GSM1594811	0.0967	0.0085	0.004	0.005	3.00E-04	0.0518	0.0909	0.0066	9.00E-04	0.0275	0	0.0773	0.0739	0.0211	0.0029
GSM1594812	0.1069	0.02	0.0165	0.005	0.0178	0.0937	0.1024	0.0253	0.0016	0.035	0	0.029	0	0.0271	0.0123
GSM1594813	0.0171	0	0.0149	0	0	0.0305	0.0345	0	0	0.0023	0	0.052	0.0091	0.0098	0
GSM1594814	0.1258	0	0	0	0	0	0.0159	0	0	0.046	0	0.1197	0	0.0299	0.0077
GSM1594815	0.0894	0.0229	0.0173	0.0131	0.02	0.101	0.1038	0.0066	0.0048	0.0247	0	0.0253	0	0.0364	0.004
GSM1594816	0.0464	7.00E-04	0.0061	0	0.018	0.0467	0.0704	0	0	0.0209	0	0.0625	0	0.0144	1.00E-04
GSM1594817	0.1009	0	0.0282	0	0.0064	0.015	0.0169	0	0	0.0403	0	0.0796	0	0.0334	0.0096
GSM1594818	0.0255	0	0.0228	0	0.0071	0.0337	0.0225	0	0.0051	0.0123	0	0.0343	0	0.0125	6.00E-04
GSM1594819	0.0729	0.0111	0.0136	0.0082	0.0055	0.0928	0.1112	0.0254	1.00E-04	0.0211	0	0.0606	0	0.0142	0.0017
GSM1594820	0.0354	0	0	0	0.0017	0.0766	0.0836	0.0271	0	0	0	0.0479	0.0133	0.0068	0.0019
GSM1594821	0.1312	0	0.0068	0	0.0066	0.0046	0.011	0	0	0.0484	0	0.0684	0.0083	0.0422	0.0156
GSM1594822	0.1082	0.0176	0.0377	0	0.017	0.0382	0.0478	0	0.0088	0.049	0	0.0506	0.001	0.0286	0.003
GSM1594823	0.1005	0.0049	0.002	0	8.00E-04	0.0373	0.0588	0.0025	0	0.0412	0	0.0322	0	0.0322	0.0106
GSM1594824	0.0848	0	0	0	0.0095	0.0616	0.0433	0.0107	0.0022	0.03	0	0.0692	0	0.0309	0.0029
GSM1594825	0.0296	0	0	0	0	0.0178	0.0371	0	0	0.0155	0	0.0865	0.001	0.0111	0
GSM1594826	0.0546	0	0	0	0.0048	0.0335	0.0372	0	0	0.02	0	0.0898	0	0.0218	0
GSM1594827	0.1672	0.0111	0.0206	0.0033	0.0062	0.0573	0.0761	0.0046	0.0014	0.0587	0	0.0318	0	0.0618	0.0173
GSM1594828	0.0651	0.0024	0	0.004	0	0.0623	0.1002	0.0151	0	0.0205	0	0.0443	0.017	0.0104	0.0036
GSM1594829	0.0977	0.0098	0.012	0.0045	0.0042	0.0565	0.0678	0.0104	0.0034	0.037	0	0.0347	0.0055	0.0287	0.0067
GSM1594830	0.1224	0.0396	0.0272	0.0077	0.0527	0.134	0.109	0.0249	0.0145	0.0427	0	0.0219	0	0.0525	0.0135
GSM1594831	0.0859	0.0239	0.0176	0	0.0231	0.13	0.1069	0.0114	0.0116	0.0273	0	0.0257	0	0.0239	0.0081
GSM1594832	0.0919	0.0301	0.0122	0.0049	0.0413	0.1306	0.109	0.0397	0.0069	0.0265	0.0078	0.0231	0.0078	0.032	0.0063
GSM1594833	0.1519	0.0075	0	0	0.0069	0.0571	0.068	0	0.0044	0.0337	0	0	0.0312	0.0522	0.0257
GSM1594834	0.0269	0.0048	0.0101	2.00E-04	0	0.0322	0.042	0	0.0036	0.003	0	0.0783	0.0096	0.0069	0
GSM1594835	0.0991	0.0182	0.0141	0	0.015	0.0728	0.0727	0	0.0037	0.0305	0	0.0354	0	0.0367	0.0082
GSM1594836	0.0126	0	0	0	0	0	0.0012	0	0	0.005	0	0.0383	0.013	0.014	0.0133
GSM1594837	0.0932	0.0298	0.0231	0.005	0.0425	0.1024	0.0739	0	0.0055	0.0325	0	0.0686	0	0.0379	0.0028
GSM1594838	0.13	0.0215	0.0245	0.0089	0	0.0292	0.0574	0	0	0.0427	0	0.0436	0.0174	0.0253	0.0055
GSM1594839	0.1199	0	0	3.00E-04	0	0.02	0.0479	0.0067	8.00E-04	0.0435	0	0.0149	0	0.0167	0.0129
GSM1594840	0.1026	0.0262	0.0297	0.0069	0.0354	0.0413	0.0624	0	0	0.0362	0	0.0438	0	0.0185	0.0055
GSM1594841	0.2618	0.0152	0.0116	0.0059	0.0094	0.0612	0.0782	6.00E-04	0.0032	0.0857	0	0.0228	0.0099	0.0857	0.0241
GSM1594842	0.1246	0.0273	0.0223	0.004	0.0361	0.0736	0.0797	0	0.0013	0.0467	0	0.1004	0	0.0483	0
GSM1594843	0.1529	0.0401	0.0414	0.0165	0.0343	0.1135	0.1223	0.0314	0.0075	0.0512	0	0.0092	0	0.0511	0.0139
GSM1594844	0.112	0.0254	0.0146	0.0097	0.0341	0.1002	0.1012	0.0343	0.0052	0.0321	0.0015	0.0205	0.0078	0.0225	0.0114
GSM1594845	0.1597	0.0299	0.0415	0.0085	0.0225	0.0781	0.0855	9.00E-04	0.0079	0.0585	0	0.0379	0.0055	0.0662	0.0196
GSM1594846	0.0405	0.011	0.0237	0	0.0145	0.0895	0.1226	0	0.0067	0.0116	0	0.0538	0	0.012	0
GSM1594847	0.1282	0.0173	0.0238	2.00E-04	0.019	0.0718	0.0709	0.0021	0.0049	0.0429	0	0.0244	0	0.0621	0.0142
GSM1594848	0.0429	0.0071	0.0139	0.0048	0	0.0595	0.0963	0	0.0025	0.0125	0	0.0675	0.0053	0.0139	0
GSM1594849	0.1317	0	0.0079	0	0	0.0248	0.0581	0	0	0.0441	0	0.074	0	0.0407	0.0132
GSM1594850	0.089	0	7.00E-04	5.00E-04	0	0.0256	0.0611	0	0	0.0218	0	0.0417	0.0156	0.0077	0.0037
GSM1594851	0.1632	0.0087	0.0146	7.00E-04	0.0156	0.0762	0.0881	0.0042	0.0048	0.0638	0	0.031	0	0.0491	0.0158
GSM1594852	0.0707	0	3.00E-04	0	0	0.0426	0.0691	0	0	0.0302	0	0.1274	0.0072	0.0242	0
GSM1594853	0.0996	0.0062	0.0092	0	0.0318	0.0304	0.0321	0	0	0.0305	0	0.0818	0	0.0363	0.0022
GSM1594854	0.0973	0	0.0038	0	0.0073	0.0424	0.0533	0	0	0.0376	0	0.0769	0	0.0284	0.0032
GSM1594855	0.1646	0.0264	0.0168	0.0088	0.0265	0.0821	0.0917	0.0229	0.0065	0.0508	0.0022	0.0109	0.0016	0.0576	0.0193
GSM1594856	0.0858	0.0029	0	0.0039	0	0.0412	0.0889	0.0155	0.0032	0.0304	0.0028	0.0287	0	0.0251	0.0131
GSM1594857	0.0786	0.0287	0.0279	0.0059	0.0246	0.0684	0.0727	0.0064	0.0063	0.0288	0	0.0618	6.00E-04	0.0289	0
GSM1594858	0.1355	0	0	0	0	0.0077	0.0142	0	0	0.0397	0	0.1383	0	0.0427	0.0231
GSM1594859	0.0682	8.00E-04	0	0	0.0061	0.0521	0.0726	0.0149	0	0.0268	0	0.0775	0	0.0209	0.0034
GSM1594860	0.1473	7.00E-04	0	0	0.0093	0.0493	0.0741	0.0036	0.0029	0.045	0	0.06	0.0064	0.0517	0.0176
GSM1594861	0.1021	0.0232	0.0104	0.0011	0.026	0.1322	0.1121	0.0059	0.0102	0.035	0	0.0257	0	0.0442	0.0083
GSM1594862	0.1306	0.0106	0.0146	0.0027	0.0381	0.0491	0.0624	0.0021	9.00E-04	0.047	0	0.0698	0	0.0512	0.0073
GSM1594863	0.1611	0.0234	0.0075	0.0131	0.0192	0.0972	0.1066	0.004	0.008	0.056	0	0.0181	0.007	0.0645	0.0186
GSM1594864	0.1956	0.0091	0.0101	0	0.02	0.0572	0.0558	0.0153	0.0027	0.0611	0	0.0313	0	0.0775	0.0269
GSM1594865	0.2513	0.0173	0	0	0.0221	0.036	0.0577	0	0	0.0737	0	0.0385	0	0.0999	0.0354
GSM1594866	0.0846	0.0214	0.0305	0.0057	0.0342	0.0785	0.0857	0.0093	9.00E-04	0.0284	0	0.0465	0.003	0.0325	0.006
GSM1594867	0.1416	0.0132	0.0341	0.0037	0.0199	0.0705	0.0726	0	0.0059	0.0509	0	0.0831	0	0.0489	0.0113
GSM1594868	0.1455	0.0264	0.03	0.0071	0.0274	0.092	0.0908	0.0046	0.0019	0.0475	0	0.0305	0.0107	0.0512	0.0217
GSM1594869	0.057	0.011	0.0167	0	0.0064	0.0608	0.0644	8.00E-04	0.0017	0.0174	0	0.0281	0	0.029	0.0025
GSM1594870	0.1799	0.0248	3.00E-04	0.0077	0.0478	0.0753	0.0602	0.0197	0	0.0534	0.0053	0.0271	0.0133	0.0746	0.0265
GSM1594871	0.2321	0.0193	0.0239	0.0091	0.0203	0.0512	0.0566	0.0098	0.0051	0.0753	0	0.0453	0	0.093	0.0218
GSM1594872	0.2016	0.0461	0.0317	0.019	0.0424	0.0704	0.0838	0.0093	0.0038	0.0706	0	0.0213	0	0.0707	0.0248
GSM1594873	0.1786	0.0194	0.0405	0	0.0121	0.0631	0.0741	0	0.0063	0.0654	0	0.0354	0	0.0683	0.0288
GSM1594874	0.1801	0.0107	0.0233	0	0.0103	0.0328	0.0189	0	0.0048	0.0611	0	0.0914	0	0.0667	0.0081
GSM1594875	0.0455	0.0023	0.0256	0	0.0028	0.0586	0.0883	0	0.0084	0.0148	0	0.1532	0	0.0052	0
GSM1594876	0.0483	0	0	0	0	0.0277	0.068	0.0022	0	0.015	0	0.0475	0	0.0123	0.0093
GSM1594877	0.0547	0	0.0046	0	0	0.0184	0.0458	0	0	0.0184	0	0.0168	0	0.017	0.008
GSM1594878	0.0575	0.0343	0.0314	0.0147	0.025	0.068	0.0895	0.0089	0.0095	0.0194	0	0.0478	0	0.0178	0.0015
GSM1594879	0.0777	0	0	0.0016	0	0.0292	0.0879	0	0	0.0297	0	0.057	0	0.0229	0.0099
GSM1594880	0.0847	0	0.0132	0	0	0.0122	0.0334	0	0	0.0204	0	0.0461	0	0.0271	2.00E-04
GSM1594881	0.2051	0.0529	0.0211	0.0236	0.0466	0.109	0.1108	0.0272	0.0134	0.0594	0	0.0207	0	0.0843	0.0265
GSM1594882	0.0901	0.009	0	0.0054	0	0.0395	0.0817	0	0	0.024	0	0.1581	0.04	0.0203	0
GSM1594883	0.0438	0.0232	0.0288	0.0058	0.0149	0.0702	0.0811	0.0106	0.0041	0.0133	0	0.0369	0.0149	0.0134	0.0022
GSM1594884	0.137	0.0229	0.0349	0.0072	0.0044	0.0322	0.0451	0	0.0065	0.0561	0	0.0647	0.0123	0.0368	0.008
GSM1594885	0.0341	0.0156	0.0257	0	0.0128	0.0585	0.0457	0	0.004	0.0069	0	0.0427	0	0.008	0
GSM1594886	0.1758	0.0245	0.0253	0.0131	0.0103	0.059	0.0685	0.0064	0.002	0.0568	0	0.077	0	0.0612	0.0096
GSM1594887	0.1072	0.0016	0.0197	8.00E-04	0.0105	0.0183	0.0239	0	0	0.0418	0	0.0952	7.00E-04	0.0329	0.0062
GSM1594888	0.1171	0.0359	0.0135	0.0054	0.0564	0.1097	0.0789	0	0.0128	0.0367	0	0.0837	0	0.0499	5.00E-04
GSM1594889	0.1198	0.0177	0.0156	0.0073	0.0128	0.0531	0.0704	0.0033	0.0044	0.0278	0	0.0627	0.0059	0.0155	0.0182
GSM1594890	0.1618	0.0455	0.029	0.024	0.0458	0.0691	0.0798	0.0047	0	0.0566	0	0.0495	0	0.0533	0.0154
GSM1594891	0.0307	1.00E-04	0.0091	0	7.00E-04	0.0677	0.0748	6.00E-04	0.0071	0.0118	0	0.0697	0.0124	0.0113	0
GSM1594892	0.0578	0	0.001	0	0.0241	0.0174	0.0246	0	3.00E-04	0.0234	0	0.0693	0	0.0247	0.0097
GSM1594893	0.0726	0.0078	0.01	0	0.0129	0.0716	0.0886	0.0171	5.00E-04	0.0319	0.0134	0.0419	0	0.0233	0.0048
GSM1594894	0.0254	0	0	0	0.0013	0.0253	0.0486	0	0.0039	0.0079	0	0.0446	0.012	0.0078	0
GSM1594895	0.0216	0	0	0	0	0.0621	0.0903	0.0262	0.0012	0.0025	0.003	0.0398	0	0.0078	0
GSM1594896	0.0495	0	0.019	0	0	0.024	0.0509	0	0	0.0208	0	0.0597	0.0075	0.0158	0.0111
GSM1594897	0.0632	0.0292	0.0309	0.0032	0.0335	0.1106	0.0996	0.0051	0.01	0.0209	0	0.0296	0	0.0252	0.0056
GSM1594898	0.2218	0.0181	0.0252	0.0046	0.0149	0.0552	0.0587	9.00E-04	0.0124	0.07	0	0.0363	0	0.0827	0.0263
GSM1594899	0.1635	0.0295	0.0336	0.0095	0.0099	0.1166	0.1157	0.0261	0.0089	0.045	0	0.0022	0.0459	0.0392	0.021
GSM1594900	0.0841	0.0037	0.0198	0	0.0103	0.0442	0.0567	0	0.0075	0.0293	0	0.0565	0	0.0309	0.0031
GSM1594901	0.1264	0.0281	0.0074	0.0023	0.0342	0.1509	0.1164	0.0159	0.0142	0.0381	0	0.0137	0	0.0549	0.0133
GSM1594902	0.1408	0.0232	0	0	0.0245	0.1037	0.0945	0.0318	0.0083	0.0437	0.0016	0.0717	0	0.0488	0.0097
GSM1594903	0.0871	0.0087	0.0112	0	0.0288	0.0607	0.0682	0.0079	0.0017	0.03	0	0.0476	0	0.0314	0.0053
GSM1594904	0.0296	0	0.0048	0	2.00E-04	0.0209	0.036	0	0	0.0093	0	0.0754	0	0.0103	0
GSM1594905	0.0615	0.0126	0.0164	0	0.0086	0.089	0.0835	0.0076	0.0018	0.0191	0	0.0286	0	0.0133	0.0085
GSM1594906	0.0429	0	0.0059	0	0.0146	0.074	0.0556	0	0.0103	0.0134	0	0.0793	0	0.0094	0
GSM1594907	0.1159	0.0239	0.026	0	0.0275	0.0851	0.0692	0.0032	0.0083	0.0319	0	0.0799	0	0.0433	0.0063
GSM1594908	0.2106	0.0335	0.0017	0.0158	0.0561	0.0693	0.0833	0.0054	0.0041	0.0672	0	0.0608	0.0071	0.0894	0.0206
GSM1594909	0.2026	0.028	0.0084	0.0059	0.0363	0.0533	0.0743	0	6.00E-04	0.0717	0	0.067	0.0065	0.0871	0.0289
GSM1594910	0.1183	5.00E-04	0.0027	2.00E-04	0.0093	0.0271	0.037	0	0	0.0385	0	0.0563	0.0012	0.041	0.0047
GSM1594911	0.1879	0.0332	0.011	0	0.0444	0.0823	0.0698	0.0122	0.0142	0.0675	0	0.0359	0	0.0631	0.0325
GSM1594912	0.0361	0	0.0108	0	0.0091	0.0337	0.0388	0	0	0.0061	0	0.1404	0	0.0017	0
GSM1594913	0.1228	0.027	0.0277	0.0014	0.0232	0.0634	0.0695	0.0037	0.0053	0.0435	0	0.0455	0	0.0403	0.0079
GSM1594914	0.0865	0.0277	0.0188	0.0016	0.0444	0.083	0.0731	0	0.0027	0.0325	0	0.0654	0	0.0223	0
GSM1594915	0.1838	0.0275	0.0475	0	0.0366	0.1003	0.0798	0	0.0086	0.0606	0	0.013	0	0.0649	0.0239
GSM1594916	0.1507	0	0.0093	0	0.0011	0.0232	0.0311	0	0.0032	0.0438	0	0.1215	3.00E-04	0.054	0.0144
GSM1594917	0.0538	0	0	0	0.0014	0.0337	0.0606	0.0075	0.0021	0.0229	0	0.0472	0	0.0137	0.0064
GSM1594918	0.203	0.0044	0.0068	0	0.0089	0.0547	0.0641	0.0066	0	0.0609	0	0.0316	0	0.0848	0.0309
GSM1594919	0.0916	0.0187	0.0232	0.003	0.0019	0.0689	0.079	0.004	0	0.0256	0	0.0354	0	0.0316	0.012
GSM1594920	0.1571	0.0379	0.0164	0	0.0537	0.1219	0.0631	0.0087	0.0049	0.0517	0	0.0402	0	0.0556	0.0177
GSM1594921	0.0266	0	0.0096	0	0.0079	0.0152	0.0349	0	0	0.0013	0	0.0818	0	0.0069	0
GSM1594922	0.1574	0.0431	0.0527	0.0098	0.031	0.1244	0.1222	0.0194	0.0185	0.0518	0	0.0172	0	0.0544	0.0421
GSM1594923	0.1339	0.0362	0.0158	0.006	0.0392	0.0747	0.07	0.0178	8.00E-04	0.0397	0	0.0298	0	0.0479	0.0186
GSM1594924	0.1328	0.0232	0.0124	0	0.0308	0.0994	0.0824	0.0117	0.0029	0.0366	0	0.0341	0	0.0516	0.0123
GSM1594925	0.1098	0.0254	0.0412	0	0.0265	0.1057	0.0874	0.0306	0.0105	0.0375	0.0046	0.015	0	0.0415	0.013
GSM1594926	0.1594	0.0238	0.0329	0.0104	0.01	0.1149	0.117	0.0089	0.0079	0.0521	0	0.0355	0	0.0585	0.0136
GSM1594927	0.1609	0.0101	0.0145	0.0022	0.0124	0.0401	0.0536	0	0.0046	0.0573	0	0.0893	0	0.0571	0.0142
GSM1594928	0.068	9.00E-04	0.0043	2.00E-04	0.0046	0.0361	0.0524	0	0	0.0211	0	0.0425	0	0.0171	0.0233
GSM1594929	0.1675	0.035	0.0151	0.0134	0.0308	0.1259	0.1327	0.0075	0.0064	0.0563	0	0.0105	0.0116	0.0699	0.0185
GSM1594930	0.239	0	0.0039	0	0.011	0.0319	0.0362	0	0	0.0793	0	0.0273	0	0.085	0.027
GSM1594931	0.0868	0.0274	0.0195	0	0.0468	0.0975	0.0728	0	0.006	0.031	0	0.0775	0	0.0327	0
GSM1594932	0.0732	0.0163	0.0237	0.0035	0.0132	0.0884	0.1138	0	0.0052	0.0321	0	0.0558	0.0035	0.0331	0
GSM1594933	0.0743	0.0298	0.0193	0.0031	0.0382	0.1069	0.1087	0	0.0118	0.022	0	0.0051	0.0241	0.0338	0.0099
