factor_name_list,factor_name_ROC
IFITM3;TRIM22;ZBP1,0.5
IFITM3;XAF1;ZBP1,0.45
PARP9;PRIC285;TRIM22,0.5
PARP9;PRIC285;XAF1,0.724
PARP9;PRIC285;ZBP1,0.421
PARP9;TRIM22;XAF1,0.5
PARP9;TRIM22;ZBP1,0.5
PARP9;XAF1;ZBP1,0.804
PRIC285;TRIM22;XAF1,0.5
PRIC285;TRIM22;ZBP1,0.5
PRIC285;XAF1;ZBP1,0.796
TRIM22;XAF1;ZBP1,0.5
EIF2AK2;IFI44;IFI44L;IFIT3,0.495
EIF2AK2;IFI44;IFI44L;IFITM3,0.467
EIF2AK2;IFI44;IFI44L;PARP9,0.774
EIF2AK2;IFI44;IFI44L;PRIC285,0.734
EIF2AK2;IFI44;IFI44L;TRIM22,0.5
EIF2AK2;IFI44;IFI44L;XAF1,0.803
EIF2AK2;IFI44;IFI44L;ZBP1,0.804
EIF2AK2;IFI44;IFIT3;IFITM3,0.5
EIF2AK2;IFI44;IFIT3;PARP9,0.472
EIF2AK2;IFI44;IFIT3;PRIC285,0.495
EIF2AK2;IFI44;IFIT3;TRIM22,0.5
EIF2AK2;IFI44;IFIT3;XAF1,0.495
EIF2AK2;IFI44;IFIT3;ZBP1,0.522
EIF2AK2;IFI44;IFITM3;PARP9,0.5
EIF2AK2;IFI44;IFITM3;PRIC285,0.467
EIF2AK2;IFI44;IFITM3;TRIM22,0.5
EIF2AK2;IFI44;IFITM3;XAF1,0.505
EIF2AK2;IFI44;IFITM3;ZBP1,0.505
EIF2AK2;IFI44;PARP9;PRIC285,0.783
EIF2AK2;IFI44;PARP9;TRIM22,0.5
EIF2AK2;IFI44;PARP9;XAF1,0.696
EIF2AK2;IFI44;PARP9;ZBP1,0.758
EIF2AK2;IFI44;PRIC285;TRIM22,0.5
EIF2AK2;IFI44;PRIC285;XAF1,0.757
EIF2AK2;IFI44;PRIC285;ZBP1,0.768
EIF2AK2;IFI44;TRIM22;XAF1,0.5
EIF2AK2;IFI44;TRIM22;ZBP1,0.5
EIF2AK2;IFI44;XAF1;ZBP1,0.719
EIF2AK2;IFI44L;IFIT3;IFITM3,0.5
EIF2AK2;IFI44L;IFIT3;PARP9,0.5
EIF2AK2;IFI44L;IFIT3;PRIC285,0.495
EIF2AK2;IFI44L;IFIT3;TRIM22,0.5
EIF2AK2;IFI44L;IFIT3;XAF1,0.495
EIF2AK2;IFI44L;IFIT3;ZBP1,0.495
EIF2AK2;IFI44L;IFITM3;PARP9,0.472
EIF2AK2;IFI44L;IFITM3;PRIC285,0.522
EIF2AK2;IFI44L;IFITM3;TRIM22,0.5
EIF2AK2;IFI44L;IFITM3;XAF1,0.505
EIF2AK2;IFI44L;IFITM3;ZBP1,0.495
EIF2AK2;IFI44L;PARP9;PRIC285,0.724
EIF2AK2;IFI44L;PARP9;TRIM22,0.5
EIF2AK2;IFI44L;PARP9;XAF1,0.752
EIF2AK2;IFI44L;PARP9;ZBP1,0.741
EIF2AK2;IFI44L;PRIC285;TRIM22,0.5
EIF2AK2;IFI44L;PRIC285;XAF1,0.566
EIF2AK2;IFI44L;PRIC285;ZBP1,0.466
EIF2AK2;IFI44L;TRIM22;XAF1,0.5
EIF2AK2;IFI44L;TRIM22;ZBP1,0.5
EIF2AK2;IFI44L;XAF1;ZBP1,0.674
EIF2AK2;IFIT3;IFITM3;PARP9,0.5
EIF2AK2;IFIT3;IFITM3;PRIC285,0.5
EIF2AK2;IFIT3;IFITM3;TRIM22,0.5
EIF2AK2;IFIT3;IFITM3;XAF1,0.5
EIF2AK2;IFIT3;IFITM3;ZBP1,0.5
EIF2AK2;IFIT3;PARP9;PRIC285,0.5
EIF2AK2;IFIT3;PARP9;TRIM22,0.5
EIF2AK2;IFIT3;PARP9;XAF1,0.5
EIF2AK2;IFIT3;PARP9;ZBP1,0.5
EIF2AK2;IFIT3;PRIC285;TRIM22,0.5
EIF2AK2;IFIT3;PRIC285;XAF1,0.495
EIF2AK2;IFIT3;PRIC285;ZBP1,0.495
EIF2AK2;IFIT3;TRIM22;XAF1,0.5
EIF2AK2;IFIT3;TRIM22;ZBP1,0.5
EIF2AK2;IFIT3;XAF1;ZBP1,0.495
EIF2AK2;IFITM3;PARP9;PRIC285,0.477
EIF2AK2;IFITM3;PARP9;TRIM22,0.5
EIF2AK2;IFITM3;PARP9;XAF1,0.505
EIF2AK2;IFITM3;PARP9;ZBP1,0.477
EIF2AK2;IFITM3;PRIC285;TRIM22,0.5
EIF2AK2;IFITM3;PRIC285;XAF1,0.478
EIF2AK2;IFITM3;PRIC285;ZBP1,0.505
EIF2AK2;IFITM3;TRIM22;XAF1,0.5
EIF2AK2;IFITM3;TRIM22;ZBP1,0.5
EIF2AK2;IFITM3;XAF1;ZBP1,0.505
EIF2AK2;PARP9;PRIC285;TRIM22,0.5
EIF2AK2;PARP9;PRIC285;XAF1,0.341
EIF2AK2;PARP9;PRIC285;ZBP1,0.777
EIF2AK2;PARP9;TRIM22;XAF1,0.5
EIF2AK2;PARP9;TRIM22;ZBP1,0.5
EIF2AK2;PARP9;XAF1;ZBP1,0.762
EIF2AK2;PRIC285;TRIM22;XAF1,0.5
EIF2AK2;PRIC285;TRIM22;ZBP1,0.5
EIF2AK2;PRIC285;XAF1;ZBP1,0.402
