factor_name_list,factor_name_ROC
IFITM3;TRIM22;ZBP1,0.449
IFITM3;XAF1;ZBP1,0.6
PARP9;PRIC285;TRIM22,0.546
PARP9;PRIC285;XAF1,0.685
PARP9;PRIC285;ZBP1,0.546
PARP9;TRIM22;XAF1,0.622
PARP9;TRIM22;ZBP1,0.441
PARP9;XAF1;ZBP1,0.598
PRIC285;TRIM22;XAF1,0.653
PRIC285;TRIM22;ZBP1,0.466
PRIC285;XAF1;ZBP1,0.735
TRIM22;XAF1;ZBP1,0.524
EIF2AK2;IFI44;IFI44L;IFIT3,0.897
EIF2AK2;IFI44;IFI44L;IFITM3,0.872
EIF2AK2;IFI44;IFI44L;PARP9,0.904
EIF2AK2;IFI44;IFI44L;PRIC285,0.86
EIF2AK2;IFI44;IFI44L;TRIM22,0.747
EIF2AK2;IFI44;IFI44L;XAF1,0.913
EIF2AK2;IFI44;IFI44L;ZBP1,0.895
EIF2AK2;IFI44;IFIT3;IFITM3,0.9
EIF2AK2;IFI44;IFIT3;PARP9,0.897
EIF2AK2;IFI44;IFIT3;PRIC285,0.917
EIF2AK2;IFI44;IFIT3;TRIM22,0.747
EIF2AK2;IFI44;IFIT3;XAF1,0.903
EIF2AK2;IFI44;IFIT3;ZBP1,0.906
EIF2AK2;IFI44;IFITM3;PARP9,0.737
EIF2AK2;IFI44;IFITM3;PRIC285,0.796
EIF2AK2;IFI44;IFITM3;TRIM22,0.762
EIF2AK2;IFI44;IFITM3;XAF1,0.753
EIF2AK2;IFI44;IFITM3;ZBP1,0.76
EIF2AK2;IFI44;PARP9;PRIC285,0.89
EIF2AK2;IFI44;PARP9;TRIM22,0.792
EIF2AK2;IFI44;PARP9;XAF1,0.895
EIF2AK2;IFI44;PARP9;ZBP1,0.743
EIF2AK2;IFI44;PRIC285;TRIM22,0.768
EIF2AK2;IFI44;PRIC285;XAF1,0.919
EIF2AK2;IFI44;PRIC285;ZBP1,0.793
EIF2AK2;IFI44;TRIM22;XAF1,0.715
EIF2AK2;IFI44;TRIM22;ZBP1,0.779
EIF2AK2;IFI44;XAF1;ZBP1,0.74
EIF2AK2;IFI44L;IFIT3;IFITM3,0.882
EIF2AK2;IFI44L;IFIT3;PARP9,0.884
EIF2AK2;IFI44L;IFIT3;PRIC285,0.91
EIF2AK2;IFI44L;IFIT3;TRIM22,0.882
EIF2AK2;IFI44L;IFIT3;XAF1,0.894
EIF2AK2;IFI44L;IFIT3;ZBP1,0.874
EIF2AK2;IFI44L;IFITM3;PARP9,0.884
EIF2AK2;IFI44L;IFITM3;PRIC285,0.893
EIF2AK2;IFI44L;IFITM3;TRIM22,0.845
EIF2AK2;IFI44L;IFITM3;XAF1,0.895
EIF2AK2;IFI44L;IFITM3;ZBP1,0.836
EIF2AK2;IFI44L;PARP9;PRIC285,0.859
EIF2AK2;IFI44L;PARP9;TRIM22,0.802
EIF2AK2;IFI44L;PARP9;XAF1,0.897
EIF2AK2;IFI44L;PARP9;ZBP1,0.858
EIF2AK2;IFI44L;PRIC285;TRIM22,0.849
EIF2AK2;IFI44L;PRIC285;XAF1,0.903
EIF2AK2;IFI44L;PRIC285;ZBP1,0.849
EIF2AK2;IFI44L;TRIM22;XAF1,0.717
EIF2AK2;IFI44L;TRIM22;ZBP1,0.812
EIF2AK2;IFI44L;XAF1;ZBP1,0.822
EIF2AK2;IFIT3;IFITM3;PARP9,0.887
EIF2AK2;IFIT3;IFITM3;PRIC285,0.909
EIF2AK2;IFIT3;IFITM3;TRIM22,0.808
EIF2AK2;IFIT3;IFITM3;XAF1,0.877
EIF2AK2;IFIT3;IFITM3;ZBP1,0.892
EIF2AK2;IFIT3;PARP9;PRIC285,0.894
