factor_name_list,factor_name_ROC
EIF2AK2;IFIT3;PRIC285;TRIM22;ZBP1,0.5
EIF2AK2;IFIT3;PRIC285;XAF1;ZBP1,0.5
EIF2AK2;IFIT3;TRIM22;XAF1;ZBP1,0.5
EIF2AK2;IFITM3;PARP9;PRIC285;TRIM22,0.5
EIF2AK2;IFITM3;PARP9;PRIC285;XAF1,0.5
EIF2AK2;IFITM3;PARP9;PRIC285;ZBP1,0.5
EIF2AK2;IFITM3;PARP9;TRIM22;XAF1,0.5
EIF2AK2;IFITM3;PARP9;TRIM22;ZBP1,0.5
EIF2AK2;IFITM3;PARP9;XAF1;ZBP1,0.5
EIF2AK2;IFITM3;PRIC285;TRIM22;XAF1,0.5
EIF2AK2;IFITM3;PRIC285;TRIM22;ZBP1,0.5
EIF2AK2;IFITM3;PRIC285;XAF1;ZBP1,0.5
EIF2AK2;IFITM3;TRIM22;XAF1;ZBP1,0.5
EIF2AK2;PARP9;PRIC285;TRIM22;XAF1,0.5
EIF2AK2;PARP9;PRIC285;TRIM22;ZBP1,0.5
EIF2AK2;PARP9;PRIC285;XAF1;ZBP1,0.5
EIF2AK2;PARP9;TRIM22;XAF1;ZBP1,0.5
EIF2AK2;PRIC285;TRIM22;XAF1;ZBP1,0.5
IFI44;IFI44L;IFIT3;IFITM3;PARP9,0.5
IFI44;IFI44L;IFIT3;IFITM3;PRIC285,0.5
IFI44;IFI44L;IFIT3;IFITM3;TRIM22,0.5
IFI44;IFI44L;IFIT3;IFITM3;XAF1,0.5
IFI44;IFI44L;IFIT3;IFITM3;ZBP1,0.5
IFI44;IFI44L;IFIT3;PARP9;PRIC285,0.5
IFI44;IFI44L;IFIT3;PARP9;TRIM22,0.5
IFI44;IFI44L;IFIT3;PARP9;XAF1,0.5
IFI44;IFI44L;IFIT3;PARP9;ZBP1,0.5
IFI44;IFI44L;IFIT3;PRIC285;TRIM22,0.657
IFI44;IFI44L;IFIT3;PRIC285;XAF1,0.528
