factor_name_list,factor_name_ROC
IFITM3;TRIM22;ZBP1,0.5
IFITM3;XAF1;ZBP1,0.684
PARP9;PRIC285;TRIM22,0.731
PARP9;PRIC285;XAF1,0.81
PARP9;PRIC285;ZBP1,0.812
PARP9;TRIM22;XAF1,0.689
PARP9;TRIM22;ZBP1,0.788
PARP9;XAF1;ZBP1,0.815
PRIC285;TRIM22;XAF1,0.5
PRIC285;TRIM22;ZBP1,0.5
PRIC285;XAF1;ZBP1,0.898
TRIM22;XAF1;ZBP1,0.5
EIF2AK2;IFI44;IFI44L;IFIT3,0.884
EIF2AK2;IFI44;IFI44L;IFITM3,0.696
EIF2AK2;IFI44;IFI44L;PARP9,0.859
EIF2AK2;IFI44;IFI44L;PRIC285,0.938
EIF2AK2;IFI44;IFI44L;TRIM22,0.769
EIF2AK2;IFI44;IFI44L;XAF1,0.905
EIF2AK2;IFI44;IFI44L;ZBP1,0.909
EIF2AK2;IFI44;IFIT3;IFITM3,0.69
EIF2AK2;IFI44;IFIT3;PARP9,0.638
EIF2AK2;IFI44;IFIT3;PRIC285,0.938
EIF2AK2;IFI44;IFIT3;TRIM22,0.77
EIF2AK2;IFI44;IFIT3;XAF1,0.846
EIF2AK2;IFI44;IFIT3;ZBP1,0.936
EIF2AK2;IFI44;IFITM3;PARP9,0.774
EIF2AK2;IFI44;IFITM3;PRIC285,0.696
EIF2AK2;IFI44;IFITM3;TRIM22,0.635
EIF2AK2;IFI44;IFITM3;XAF1,0.721
EIF2AK2;IFI44;IFITM3;ZBP1,0.7
EIF2AK2;IFI44;PARP9;PRIC285,0.878
EIF2AK2;IFI44;PARP9;TRIM22,0.874
EIF2AK2;IFI44;PARP9;XAF1,0.877
EIF2AK2;IFI44;PARP9;ZBP1,0.859
EIF2AK2;IFI44;PRIC285;TRIM22,0.793
EIF2AK2;IFI44;PRIC285;XAF1,0.935
EIF2AK2;IFI44;PRIC285;ZBP1,0.911
EIF2AK2;IFI44;TRIM22;XAF1,0.74
EIF2AK2;IFI44;TRIM22;ZBP1,0.808
EIF2AK2;IFI44;XAF1;ZBP1,0.917
EIF2AK2;IFI44L;IFIT3;IFITM3,0.71
EIF2AK2;IFI44L;IFIT3;PARP9,0.814
EIF2AK2;IFI44L;IFIT3;PRIC285,0.927
EIF2AK2;IFI44L;IFIT3;TRIM22,0.67
EIF2AK2;IFI44L;IFIT3;XAF1,0.891
EIF2AK2;IFI44L;IFIT3;ZBP1,0.924
EIF2AK2;IFI44L;IFITM3;PARP9,0.775
EIF2AK2;IFI44L;IFITM3;PRIC285,0.697
EIF2AK2;IFI44L;IFITM3;TRIM22,0.611
EIF2AK2;IFI44L;IFITM3;XAF1,0.715
