id	group
GSM1594501	case
GSM1594502	case
GSM1594503	case
GSM1594504	case
GSM1594505	case
GSM1594506	case
GSM1594507	case
GSM1594508	case
GSM1594509	case
GSM1594510	case
GSM1594511	case
GSM1594512	case
GSM1594513	case
GSM1594514	case
GSM1594515	case
GSM1594516	case
GSM1594517	case
GSM1594518	case
GSM1594519	case
GSM1594520	case
GSM1594521	case
GSM1594522	case
GSM1594523	case
GSM1594524	case
GSM1594525	case
GSM1594526	case
GSM1594527	case
GSM1594528	case
GSM1594529	case
GSM1594530	case
GSM1594531	case
GSM1594532	case
GSM1594533	case
GSM1594534	case
GSM1594535	case
GSM1594536	case
GSM1594537	case
GSM1594538	case
GSM1594539	case
GSM1594540	case
GSM1594541	case
GSM1594542	case
GSM1594543	case
GSM1594544	case
GSM1594545	case
GSM1594546	case
GSM1594547	case
GSM1594548	case
GSM1594549	case
GSM1594550	case
GSM1594551	case
GSM1594552	case
GSM1594553	case
GSM1594554	case
GSM1594555	case
GSM1594556	case
GSM1594557	case
GSM1594558	case
GSM1594559	case
GSM1594560	case
GSM1594561	case
GSM1594562	case
GSM1594563	case
GSM1594564	case
GSM1594565	case
GSM1594566	case
GSM1594567	case
GSM1594568	case
GSM1594569	case
GSM1594570	case
GSM1594571	case
GSM1594572	case
GSM1594573	case
GSM1594574	control
GSM1594575	control
GSM1594576	control
GSM1594577	control
GSM1594578	control
GSM1594579	control
GSM1594580	control
GSM1594581	control
GSM1594582	control
GSM1594583	control
GSM1594584	control
GSM1594585	control
GSM1594586	control
GSM1594587	control
GSM1594588	control
GSM1594589	control
GSM1594590	control
GSM1594591	control
GSM1594592	control
GSM1594593	control
GSM1594594	control
GSM1594595	control
GSM1594596	control
GSM1594597	control
GSM1594598	control
GSM1594599	control
GSM1594600	control
GSM1594601	control
GSM1594602	control
GSM1594603	control
GSM1594604	control
GSM1594605	case
GSM1594606	case
GSM1594607	case
GSM1594608	case
GSM1594609	case
GSM1594610	case
GSM1594611	case
GSM1594612	case
GSM1594613	case
GSM1594614	case
GSM1594615	case
GSM1594616	case
GSM1594617	case
GSM1594618	case
GSM1594619	case
GSM1594620	case
GSM1594621	case
GSM1594622	case
GSM1594623	case
GSM1594624	case
GSM1594625	case
GSM1594626	case
GSM1594627	case
GSM1594628	case
GSM1594629	case
GSM1594630	case
GSM1594631	case
GSM1594632	case
GSM1594633	case
GSM1594634	case
GSM1594635	case
GSM1594636	case
GSM1594637	case
GSM1594638	case
GSM1594639	case
GSM1594640	case
GSM1594641	case
GSM1594642	case
GSM1594643	case
GSM1594644	case
GSM1594645	case
GSM1594646	case
GSM1594647	case
GSM1594648	case
GSM1594649	case
GSM1594650	case
GSM1594651	case
GSM1594652	case
GSM1594653	case
GSM1594654	case
GSM1594655	case
GSM1594656	case
GSM1594657	case
GSM1594658	case
GSM1594659	case
GSM1594660	case
GSM1594661	case
GSM1594662	case
GSM1594663	case
GSM1594664	case
GSM1594665	case
GSM1594666	case
GSM1594667	case
GSM1594668	case
GSM1594669	case
GSM1594670	case
GSM1594671	case
GSM1594672	case
GSM1594673	case
GSM1594674	case
GSM1594675	case
GSM1594676	case
GSM1594677	case
GSM1594678	case
GSM1594679	case
GSM1594680	case
GSM1594681	case
GSM1594682	case
GSM1594683	case
GSM1594684	case
GSM1594685	case
GSM1594686	case
GSM1594687	case
GSM1594688	case
GSM1594689	case
GSM1594690	case
GSM1594691	case
GSM1594692	case
GSM1594693	case
GSM1594694	case
GSM1594695	case
GSM1594696	case
GSM1594697	case
GSM1594698	case
GSM1594699	case
GSM1594700	case
GSM1594701	case
GSM1594702	case
GSM1594703	case
GSM1594704	case
GSM1594705	case
GSM1594706	case
GSM1594707	case
GSM1594708	case
GSM1594709	case
GSM1594710	case
GSM1594711	case
GSM1594712	case
GSM1594713	case
GSM1594714	case
GSM1594715	case
GSM1594716	case
GSM1594717	case
GSM1594718	case
GSM1594719	case
GSM1594720	case
GSM1594721	case
GSM1594722	case
GSM1594723	case
GSM1594724	case
GSM1594725	case
GSM1594726	case
GSM1594727	case
GSM1594728	case
GSM1594729	case
GSM1594730	case
GSM1594731	case
GSM1594732	case
GSM1594733	case
GSM1594734	case
GSM1594735	case
GSM1594736	case
GSM1594737	case
GSM1594738	case
GSM1594739	case
GSM1594740	case
GSM1594741	case
GSM1594742	case
GSM1594743	case
GSM1594744	case
GSM1594745	case
GSM1594746	case
GSM1594747	case
GSM1594748	case
GSM1594749	case
GSM1594750	case
GSM1594751	case
GSM1594752	case
GSM1594753	case
GSM1594754	case
GSM1594755	case
GSM1594756	case
GSM1594757	case
GSM1594758	case
GSM1594759	case
GSM1594760	case
GSM1594761	case
GSM1594762	case
GSM1594763	case
GSM1594764	case
GSM1594765	case
GSM1594766	case
GSM1594767	case
GSM1594768	case
GSM1594769	case
GSM1594770	case
GSM1594771	case
GSM1594772	case
GSM1594773	case
GSM1594774	case
GSM1594775	case
GSM1594776	case
GSM1594777	case
GSM1594778	case
GSM1594779	case
GSM1594780	case
GSM1594781	case
GSM1594782	case
GSM1594783	case
GSM1594784	case
GSM1594785	case
GSM1594786	case
GSM1594787	case
GSM1594788	case
GSM1594789	case
GSM1594790	case
GSM1594791	case
GSM1594792	case
GSM1594793	case
GSM1594794	case
GSM1594795	case
GSM1594796	case
GSM1594797	case
GSM1594798	case
GSM1594799	case
GSM1594800	case
GSM1594801	case
GSM1594802	case
GSM1594803	case
GSM1594804	case
GSM1594805	case
GSM1594806	case
GSM1594807	case
GSM1594808	case
GSM1594809	case
GSM1594810	case
GSM1594811	case
GSM1594812	case
GSM1594813	case
GSM1594814	case
GSM1594815	case
GSM1594816	case
GSM1594817	case
GSM1594818	case
GSM1594819	case
GSM1594820	case
GSM1594821	case
GSM1594822	case
GSM1594823	case
GSM1594824	case
GSM1594825	case
GSM1594826	case
GSM1594827	case
GSM1594828	case
GSM1594829	case
GSM1594830	case
GSM1594831	case
GSM1594832	case
GSM1594833	case
GSM1594834	case
GSM1594835	case
GSM1594836	case
GSM1594837	case
GSM1594838	case
GSM1594839	case
GSM1594840	case
GSM1594841	case
GSM1594842	case
GSM1594843	case
GSM1594844	case
GSM1594845	case
GSM1594846	case
GSM1594847	case
GSM1594848	case
GSM1594849	case
GSM1594850	case
GSM1594851	case
GSM1594852	case
GSM1594853	case
GSM1594854	case
GSM1594855	case
GSM1594856	case
GSM1594857	case
GSM1594858	case
GSM1594859	case
GSM1594860	case
GSM1594861	case
GSM1594862	case
GSM1594863	case
GSM1594864	case
GSM1594865	case
GSM1594866	case
GSM1594867	case
GSM1594868	case
GSM1594869	case
GSM1594870	case
GSM1594871	case
GSM1594872	case
GSM1594873	case
GSM1594874	case
GSM1594875	case
GSM1594876	case
GSM1594877	case
GSM1594878	case
GSM1594879	case
GSM1594880	case
GSM1594881	case
GSM1594882	case
GSM1594883	case
GSM1594884	case
GSM1594885	case
GSM1594886	case
GSM1594887	case
GSM1594888	case
GSM1594889	case
GSM1594890	case
GSM1594891	case
GSM1594892	case
GSM1594893	case
GSM1594894	case
GSM1594895	case
GSM1594896	case
GSM1594897	case
GSM1594898	case
GSM1594899	case
GSM1594900	case
GSM1594901	case
GSM1594902	case
GSM1594903	case
GSM1594904	case
GSM1594905	case
GSM1594906	case
GSM1594907	case
GSM1594908	case
GSM1594909	case
GSM1594910	case
GSM1594911	case
GSM1594912	case
GSM1594913	case
GSM1594914	case
GSM1594915	case
GSM1594916	case
GSM1594917	case
GSM1594918	case
GSM1594919	case
GSM1594920	case
GSM1594921	case
GSM1594922	case
GSM1594923	case
GSM1594924	case
GSM1594925	case
GSM1594926	case
GSM1594927	case
GSM1594928	case
GSM1594929	case
GSM1594930	case
GSM1594931	case
GSM1594932	case
GSM1594933	case
GSM1594934	case
GSM1594935	case
GSM1594936	case
GSM1594937	case
GSM1594938	case
GSM1594939	case
GSM1594940	case
GSM1594941	case
GSM1594942	case
GSM1594943	case
GSM1594944	case
GSM1594945	case
GSM1594946	case
GSM1594947	case
GSM1594948	case
GSM1594949	case
GSM1594950	case
GSM1594951	case
GSM1594952	case
GSM1594953	case
GSM1594954	case
GSM1594955	case
GSM1594956	case
GSM1594957	case
GSM1594958	case
GSM1594959	case
GSM1594960	case
GSM1594961	case
GSM1594962	case
GSM1594963	case
GSM1594964	case
GSM1594965	case
GSM1594966	case
GSM1594967	case
GSM1594968	case
GSM1594969	case
GSM1594970	case
GSM1594971	case
GSM1594972	case
GSM1594973	case
GSM1594974	case
GSM1594975	case
GSM1594976	case
GSM1594977	case
GSM1594978	case
GSM1594979	case
GSM1594980	case
GSM1594981	case
GSM1594982	case
GSM1594983	case
GSM1594984	case
GSM1594985	case
GSM1594986	case
GSM1594987	case
GSM1594988	case
GSM1594989	case
GSM1594990	case
GSM1594991	case
GSM1594992	case
GSM1594993	case
GSM1594994	case
GSM1594995	case
GSM1594996	case
GSM1594997	case
GSM1594998	case
GSM1594999	case
GSM1595000	case
GSM1595001	case
GSM1595002	case
GSM1595003	case
GSM1595004	case
GSM1595005	case
GSM1595006	case
GSM1595007	case
GSM1595008	case
GSM1595009	case
GSM1595010	case
GSM1595011	case
GSM1595012	case
GSM1595013	case
GSM1595014	case
GSM1595015	case
GSM1595016	case
GSM1595017	case
GSM1595018	case
GSM1595019	case
GSM1595020	case
GSM1595021	case
GSM1595022	case
GSM1595023	case
GSM1595024	case
GSM1595025	case
GSM1595026	case
GSM1595027	case
GSM1595028	case
GSM1595029	case
GSM1595030	case
GSM1595031	case
GSM1595032	case
GSM1595033	case
GSM1595034	case
GSM1595035	case
GSM1595036	case
GSM1595037	case
GSM1595038	case
GSM1595039	case
GSM1595040	case
GSM1595041	case
GSM1595042	case
GSM1595043	case
GSM1595044	case
GSM1595045	case
GSM1595046	case
GSM1595047	case
GSM1595048	case
GSM1595049	case
GSM1595050	case
GSM1595051	case
GSM1595052	case
GSM1595053	case
GSM1595054	case
GSM1595055	case
GSM1595056	case
GSM1595057	case
GSM1595058	case
GSM1595059	case
GSM1595060	case
GSM1595061	case
GSM1595062	case
GSM1595063	case
GSM1595064	case
GSM1595065	case
GSM1595066	case
GSM1595067	case
GSM1595068	case
GSM1595069	case
GSM1595070	case
GSM1595071	case
GSM1595072	case
GSM1595073	case
GSM1595074	case
GSM1595075	case
GSM1595076	case
GSM1595077	case
GSM1595078	case
GSM1595079	case
GSM1595080	case
GSM1595081	case
GSM1595082	case
GSM1595083	case
GSM1595084	case
GSM1595085	case
GSM1595086	case
GSM1595087	case
GSM1595088	case
GSM1595089	case
GSM1595090	case
GSM1595091	case
GSM1595092	case
GSM1595093	case
GSM1595094	case
GSM1595095	case
GSM1595096	case
GSM1595097	case
GSM1595098	case
GSM1595099	case
GSM1595100	case
GSM1595101	case
GSM1595102	case
GSM1595103	case
GSM1595104	case
GSM1595105	case
GSM1595106	case
GSM1595107	case
GSM1595108	case
GSM1595109	case
GSM1595110	case
GSM1595111	case
GSM1595112	case
GSM1595113	case
GSM1595114	case
GSM1595115	case
GSM1595116	case
GSM1595117	case
GSM1595118	case
GSM1595119	case
GSM1595120	case
GSM1595121	case
GSM1595122	case
GSM1595123	case
GSM1595124	case
GSM1595125	case
GSM1595126	case
GSM1595127	case
GSM1595128	case
GSM1595129	case
GSM1595130	case
GSM1595131	case
GSM1595132	case
GSM1595133	case
GSM1595134	case
GSM1595135	case
GSM1595136	case
GSM1595137	case
GSM1595138	case
GSM1595139	case
GSM1595140	case
GSM1595141	case
GSM1595142	case
GSM1595143	case
GSM1595144	case
GSM1595145	case
GSM1595146	case
GSM1595147	case
GSM1595148	case
GSM1595149	case
GSM1595150	case
GSM1595151	case
GSM1595152	case
GSM1595153	case
GSM1595154	case
GSM1595155	case
GSM1595156	case
GSM1595157	case
GSM1595158	case
GSM1595159	case
GSM1595160	case
GSM1595161	case
GSM1595162	case
GSM1595163	case
GSM1595164	case
GSM1595165	case
GSM1595166	case
GSM1595167	case
GSM1595168	case
GSM1595169	case
GSM1595170	case
GSM1595171	case
GSM1595172	case
GSM1595173	case
GSM1595174	case
GSM1595175	case
GSM1595176	case
GSM1595177	case
GSM1595178	case
GSM1595179	case
GSM1595180	case
GSM1595181	case
GSM1595182	case
GSM1595183	case
GSM1595184	case
GSM1595185	case
GSM1595186	case
GSM1595187	case
GSM1595188	case
GSM1595189	case
GSM1595190	case
GSM1595191	case
GSM1595192	case
GSM1595193	case
GSM1595194	case
GSM1595195	case
GSM1595196	case
GSM1595197	case
GSM1595198	case
GSM1595199	case
GSM1595200	case
GSM1595201	case
GSM1595202	case
GSM1595203	case
GSM1595204	case
GSM1595205	case
GSM1595206	case
GSM1595207	case
GSM1595208	case
GSM1595209	case
GSM1595210	case
GSM1595211	case
GSM1595212	case
GSM1595213	case
GSM1595214	case
GSM1595215	case
GSM1595216	case
GSM1595217	case
GSM1595218	case
GSM1595219	case
GSM1595220	case
GSM1595221	case
GSM1595222	case
