id	group
GSM1594247	control
GSM1594250	control
GSM1594253	control
GSM1594254	control
GSM1594255	control
GSM1594256	control
GSM1594257	control
GSM1594258	control
GSM1594259	control
GSM1594260	control
GSM1594261	control
GSM1594262	control
GSM1594263	control
GSM1594264	control
GSM1594265	control
GSM1594266	control
GSM1594267	control
GSM1594268	case
GSM1594269	case
GSM1594270	case
GSM1594271	case
GSM1594272	case
GSM1594273	case
GSM1594274	case
GSM1594275	case
GSM1594276	case
GSM1594277	case
GSM1594278	case
GSM1594279	case
GSM1594280	case
GSM1594281	case
GSM1594282	case
GSM1594283	case
GSM1594284	case
GSM1594285	case
GSM1594286	case
GSM1594287	case
GSM1594288	case
GSM1594289	case
GSM1594290	case
GSM1594291	case
GSM1594292	case
GSM1594293	case
GSM1594294	case
GSM1594295	case
GSM1594296	case
GSM1594297	case
GSM1594298	case
GSM1594299	case
GSM1594300	case
GSM1594301	case
GSM1594302	case
GSM1594303	case
GSM1594304	case
GSM1594305	case
GSM1594306	case
GSM1594307	case
GSM1594308	case
GSM1594309	case
GSM1594310	case
GSM1594311	case
GSM1594312	case
GSM1594313	case
GSM1594314	case
GSM1594315	case
GSM1594316	case
GSM1594317	case
GSM1594318	case
GSM1594319	case
GSM1594320	case
GSM1594321	case
GSM1594322	case
GSM1594323	case
GSM1594324	case
GSM1594325	case
GSM1594326	case
GSM1594327	case
GSM1594328	case
GSM1594329	case
GSM1594330	case
GSM1594331	case
GSM1594332	case
GSM1594333	case
GSM1594334	case
GSM1594335	case
GSM1594336	case
GSM1594337	case
GSM1594338	case
GSM1594339	case
GSM1594340	case
GSM1594341	case
GSM1594342	case
GSM1594343	case
GSM1594344	case
GSM1594345	case
GSM1594346	case
GSM1594347	case
GSM1594348	case
GSM1594349	case
GSM1594350	case
GSM1594351	case
GSM1594352	case
GSM1594353	case
GSM1594354	case
GSM1594355	case
GSM1594356	case
GSM1594357	case
GSM1594358	case
GSM1594359	case
GSM1594360	case
GSM1594361	case
GSM1594362	case
GSM1594363	case
GSM1594364	case
GSM1594365	case
GSM1594366	case
GSM1594367	case
GSM1594368	case
GSM1594369	case
GSM1594370	case
GSM1594371	case
GSM1594372	case
GSM1594373	case
GSM1594374	case
GSM1594375	case
GSM1594376	case
GSM1594377	case
GSM1594378	case
GSM1594379	case
GSM1594380	case
GSM1594381	case
GSM1594382	case
GSM1594383	case
GSM1594384	case
GSM1594385	case
GSM1594386	case
GSM1594387	case
GSM1594388	case
GSM1594389	case
GSM1594390	case
GSM1594391	case
GSM1594392	case
GSM1594393	case
GSM1594394	case
GSM1594395	case
GSM1594396	case
GSM1594397	case
GSM1594398	case
GSM1594399	case
GSM1594400	case
GSM1594401	case
GSM1594402	case
GSM1594403	case
GSM1594404	case
GSM1594405	case
GSM1594406	case
GSM1594407	case
GSM1594408	case
GSM1594409	case
GSM1594410	case
GSM1594411	case
GSM1594412	case
GSM1594413	case
GSM1594414	case
GSM1594415	case
GSM1594416	case
GSM1594417	case
GSM1594418	case
GSM1594419	case
GSM1594420	case
GSM1594421	case
GSM1594422	case
GSM1594423	case
GSM1594424	case
GSM1594425	case
GSM1594426	case
GSM1594427	case
GSM1594428	case
GSM1594429	case
GSM1594430	case
GSM1594431	case
GSM1594432	case
GSM1594433	case
GSM1594434	case
GSM1594435	case
GSM1594436	case
GSM1594437	case
GSM1594438	case
GSM1594439	case
GSM1594440	case
GSM1594441	case
GSM1594442	case
GSM1594443	case
GSM1594444	case
GSM1594445	case
GSM1594446	case
GSM1594447	case
GSM1594448	case
GSM1594449	case
GSM1594450	case
GSM1594451	case
GSM1594452	case
GSM1594453	case
GSM1594454	case
GSM1594455	case
GSM1594456	case
GSM1594457	case
GSM1594458	case
GSM1594459	case
GSM1594460	case
GSM1594461	case
GSM1594462	case
GSM1594463	case
GSM1594464	case
GSM1594465	case
GSM1594466	case
GSM1594467	case
GSM1594468	case
GSM1594469	case
GSM1594470	case
GSM1594471	case
GSM1594472	case
GSM1594473	case
GSM1594474	case
GSM1594475	case
GSM1594476	case
GSM1594477	case
GSM1594478	case
GSM1594479	case
GSM1594480	case
GSM1594481	case
GSM1594482	case
GSM1594483	case
GSM1594484	case
GSM1594485	case
GSM1594486	case
GSM1594487	case
GSM1594488	case
GSM1594489	case
GSM1594490	case
GSM1594491	case
GSM1594492	case
GSM1594493	case
GSM1594494	case
GSM1594495	case
GSM1594496	case
GSM1594497	case
GSM1594498	case
GSM1594499	case
GSM1594500	case
