group	EIF2AK2	IFI44	IFI44L	IFIT3	IFITM3	PARP9	PRIC285	TRIM22	XAF1	ZBP1
case	9.69449566	9.08497529	8.96896753	9.76472409	11.6356778	9.93075633	9.6023255	9.14297968	9.26701837	8.26191417
case	11.3795483	12.1196129	12.2981125	12.0766918	13.7898723	10.9696854	10.9150679	10.8643892	12.1039284	10.6313038
case	9.05838024	9.97067644	9.51981947	10.8461173	12.8967215	9.79916366	9.74338823	9.05223741	9.93896717	9.38285901
case	9.54929313	9.83776823	9.89961361	10.2390435	11.7377601	10.0816968	9.9391499	8.84983903	10.4127101	9.19077451
case	10.8273679	11.8943223	12.3827619	11.8889168	12.9783589	11.0572301	11.215042	10.5340297	11.5606624	10.8632489
case	9.21345725	10.462603	9.93283261	10.8501994	12.435288	10.1262654	10.1294296	9.61912582	10.4977535	8.82350785
case	10.8822487	12.1116985	12.0234729	11.9192269	13.8910217	11.0170962	10.6002896	10.3849224	11.6082853	10.5904902
case	10.5286704	11.5227956	11.48158	11.9036456	13.2534274	9.04425785	9.16045037	9.83995013	11.3060865	9.61201726
case	9.53245787	10.9555039	10.6151113	10.8089601	12.2348188	10.4857469	9.24476607	10.6367267	10.5680231	9.52748069
case	11.2511457	12.8177181	12.8151748	12.9933605	14.4194274	11.5447199	11.7048753	11.2653704	12.884545	11.7631931
case	10.960314	12.0707623	12.891259	12.8025821	14.2025591	11.3266073	11.5815708	11.9109268	12.2406025	11.1245194
case	8.91725045	11.081809	11.5600099	11.2300902	12.7547257	10.1971945	9.92530667	10.1375069	11.1148088	8.87974119
case	11.2571951	12.6255858	13.0946364	12.4176205	13.9028495	11.5768125	11.2030162	11.0367263	12.4527567	10.7312131
case	11.0521173	12.3012559	12.9517054	12.5811126	13.9117137	11.1143088	11.0964106	11.1574638	12.3043154	11.0642833
case	10.3051253	11.9883295	12.2502983	11.6654037	12.937874	10.640117	10.3007029	10.8710953	11.2805649	10.289954
case	10.5084553	11.6685952	11.5338599	11.7544289	13.8842268	10.5288376	10.8643517	10.7296668	11.5393586	10.4996295
case	11.1846498	12.8166488	13.3716888	12.2951406	13.7514822	11.1187501	10.610044	10.1643205	11.6800158	10.6923251
case	10.7257481	11.9424768	12.5337222	12.082396	13.1764162	10.5509432	10.8467971	11.4340885	11.5522635	10.6836199
case	10.0200465	11.7541685	12.6046491	12.0687063	13.2400028	10.66338	10.6969735	10.8811862	11.3781825	10.222193
case	10.5644413	11.7565849	11.7153999	11.4561941	13.2160082	10.262904	10.0774788	10.498604	10.7510499	9.77423807
case	10.6663448	11.7825894	11.9165338	11.149411	12.8937764	9.90719457	10.4043859	9.91704798	10.8389502	9.73048725
case	10.3355301	11.4275444	11.5653903	11.4025743	13.7097022	10.3900962	10.1868271	10.359147	11.3322075	9.4684349
case	11.0879466	12.306119	12.7529145	12.6997397	14.0553399	10.8251829	10.954949	10.4762236	11.7924847	11.3955359
case	11.5168578	12.0997285	12.7245597	12.8590614	13.5386789	11.0170209	10.9301812	10.7433725	11.865298	11.2204129
case	9.78251962	10.2552392	9.58036562	10.5835215	13.0339418	10.2930976	9.92334138	9.61674837	10.8053234	9.55876662
case	10.8717272	11.5634326	11.9822922	11.6059574	12.6205353	10.094358	10.2822897	9.98569497	11.3101535	9.77762196
case	10.7741286	10.7234364	10.7171107	11.5708825	13.0747179	9.64023782	10.4803944	9.16184504	10.7770489	9.5400884
case	9.31355909	8.79834888	8.53455217	10.0021092	10.0982797	9.40132864	9.45615869	9.69106909	9.24059233	8.82352334
case	10.9677355	12.2494714	13.1773439	12.5744222	13.8379062	11.109938	11.4603006	11.4382731	12.0161565	11.1210932
case	11.4186159	12.5620006	13.4116634	13.3555257	13.3791204	11.5713717	11.2736441	11.7099634	12.4874426	11.7907404
case	10.8987748	12.1212354	12.7566152	12.758601	14.541107	11.2960374	11.1124468	10.9414375	12.3893067	10.9895009
case	10.740328	11.3895343	12.5438907	11.8726948	14.1505816	11.3848946	10.4400435	11.3852724	11.0954935	10.202171
case	9.58636259	10.5345907	9.8259313	10.9094977	12.7730963	9.97031073	9.48658937	9.95038762	10.6332359	9.80976494
case	9.69648657	10.743126	10.5454869	11.2877242	12.6938094	10.4926047	9.99431238	10.2308669	10.7719394	9.28454061
case	10.6931935	11.4861285	12.1931108	12.257018	13.4550449	10.3330573	10.656894	11.181347	11.5622777	10.1108116
case	11.0224737	11.9242327	12.8499024	12.1563528	14.0250242	10.8289702	10.3137961	10.6145905	11.7198853	10.5665384
case	10.3891429	11.7971543	12.4303012	12.5039859	14.0415949	11.0389342	9.62058399	10.9520336	11.6668859	10.4250205
case	10.8396312	11.5377783	12.0275391	11.7800848	13.3384909	9.89449909	10.6174029	10.48722	11.3277494	9.77039933
case	10.0240632	10.1712851	10.7074766	11.9530904	13.1848423	10.9700575	10.8306226	10.2149664	11.121635	10.1667293
case	9.00805202	9.86679232	9.36376638	10.3521802	13.2772235	10.6311501	9.93412146	9.86557637	9.93264102	9.0486285
case	9.91343441	11.3398901	11.6878071	11.357885	12.5188801	10.2864242	10.3085987	10.3869449	10.8748171	9.75452374
case	10.4798246	12.18885	12.9146201	12.3653896	14.2601774	11.770202	11.1094388	11.6225619	12.1661317	10.7659702
case	10.5498696	11.8094795	12.0742197	12.2489263	13.4217587	10.8236956	11.02837	10.0920631	11.7561426	10.5785993
case	9.78838853	10.9896767	11.4461459	11.1795785	13.0865775	10.0350273	10.0357268	10.936403	10.5620932	10.2629367
case	10.5932897	11.5707267	12.3999493	12.091218	13.8769697	10.8087616	10.4389033	10.0788875	10.903002	10.6231295
case	11.1637511	12.6101877	13.2923163	12.8965777	14.3513254	11.9238887	11.6187903	11.244013	12.500102	11.4670128
case	11.1509033	11.7635266	12.9380547	12.3546587	13.9064054	10.5935246	11.6900021	10.702499	11.6000966	10.9637116
case	10.7942902	11.7908213	12.0259833	11.5344417	14.0670886	10.8723313	10.494359	11.4682913	11.4541602	10.1067027
case	8.70463666	8.41900079	6.71681081	8.40754797	10.7871462	9.11362102	9.17094453	8.0393966	9.59744287	7.77780733
case	8.7114923	8.99376237	7.70819757	8.59993655	11.1052299	9.42574695	8.77030812	9.38842061	8.78194862	8.2398193
case	9.96744327	10.9765704	10.935967	11.6661302	12.7490246	10.2895443	10.3033866	9.97307795	10.9637871	9.25532237
case	11.5285556	11.9463314	12.4043567	12.5322378	14.3249368	11.5441367	11.2219144	10.8892876	11.9801822	11.146672
case	10.4085817	11.4426994	11.8694739	11.2367692	12.5601806	10.0357218	10.6498228	9.20693142	10.9846438	9.59156424
case	10.7956824	11.9920512	12.0428694	10.8545387	12.3330441	10.6579812	10.7083807	10.2082035	11.1000694	9.71678276
case	10.9154257	11.2796526	12.2130374	11.7202495	12.9322958	9.98098762	10.6569919	10.2886671	11.2002445	9.9555946
case	11.4112236	12.5831856	13.2959809	12.7051031	14.2778595	10.9190326	11.7306535	11.2481112	12.1327261	11.2392601
case	9.3500192	10.1530829	9.45625101	9.85602415	11.8841293	9.35695431	9.33582934	9.01706743	9.78549001	8.47539023
case	10.7124293	12.0020567	12.6864876	12.469306	14.0173694	11.3617624	10.3825925	11.2276988	11.3063442	10.6452797
case	10.7132611	12.3352138	12.7261674	11.1182089	13.0133257	10.6461829	11.1940971	10.5553432	12.5137632	10.2988443
case	11.1552849	12.6758029	13.2700098	13.0420411	13.9525912	11.8926338	11.6360633	11.2484451	12.1832822	11.0782685
case	9.87241502	10.4193014	10.6802373	11.435779	13.8044575	10.3574737	9.88322511	9.56777478	10.922114	9.47643111
case	10.385586	11.3118805	12.3825167	12.0683999	13.8124322	10.3808831	10.571967	10.2283555	11.1927935	9.96344533
case	9.11822647	9.37670521	9.11520871	10.401077	12.4900911	9.8095534	8.90470744	9.659707	9.49980302	9.03824539
case	9.77399372	11.4694379	11.8252167	11.9269329	13.2789229	10.7509566	10.4022777	10.0907386	11.0798945	10.2366643
case	10.1938149	11.5340437	11.8309212	11.5604355	13.3547583	10.6831341	10.4951684	10.020453	10.9910106	10.4481323
case	9.65492799	10.3515476	9.74320611	10.6579561	13.8150792	10.8083451	9.91406416	9.5567112	10.4458401	9.92331962
case	10.9483589	10.9073405	11.6463557	11.9115817	13.928905	10.7531394	10.529396	10.9090404	11.4506677	9.9099199
case	10.4101998	10.8708817	11.9406568	11.1057233	12.6453694	10.496069	9.99149033	10.439644	11.0791153	10.1273163
case	10.7597168	12.3185792	12.4565833	12.0475656	14.2135381	10.6824673	10.1421792	10.7737778	11.2346975	10.8844655
case	10.8972586	11.489692	11.3257929	11.5557694	12.084068	10.245861	10.6011609	9.8092639	11.5615219	9.92852314
case	10.595014	12.3550595	12.664012	11.7745776	13.8730161	10.8347284	10.7434516	11.1057349	11.7879762	10.6461732
case	9.66781848	11.5115506	11.9313364	11.3342459	13.0978752	10.4445519	9.65471324	10.484013	11.2301346	9.82214303
case	11.05161	12.3015126	12.7430168	12.6014111	13.978367	11.5149893	11.1153773	11.451061	12.2234665	11.0778057
case	11.0987528	12.2085957	12.3311135	12.5591578	13.9948553	11.3975658	11.3229989	11.2252085	11.9537856	11.0537776
case	11.5990411	12.8347514	13.1118935	12.4794611	14.660835	11.6408912	11.3108108	10.8951701	12.6128692	11.0791322
case	11.6830568	12.6422543	13.5357906	13.2521819	14.2780267	11.8834497	11.8938369	11.1661462	12.4995112	11.5455862
case	9.38811587	10.5988966	10.4149168	11.707168	12.9598055	10.1243835	10.3139605	9.88714541	10.4166892	9.98388983
case	11.4860949	11.7403878	12.7392342	12.9287119	14.3163134	10.7560684	11.4999015	10.965335	11.5182492	11.2706795
case	9.15527383	9.90062947	9.49638502	10.5209066	11.2710401	9.88747787	9.92495153	9.42095496	9.84220257	8.9829329
case	9.72302942	10.6367476	10.771205	11.1262564	13.0761659	10.0104098	10.08629	10.5033888	10.4109553	9.37348992
case	11.0289271	12.1863454	12.5061913	12.335391	13.9068289	10.9250998	10.9783491	10.4426263	11.8216241	10.5889016
case	9.76499585	10.4106678	9.81542883	10.6946532	12.9853233	10.7995631	9.50731224	10.2167915	10.475866	8.49236511
case	10.849009	11.9716297	13.1616411	11.6280778	13.1954326	10.8711386	10.5649591	11.0116495	11.7360181	10.0820634
case	9.95059207	10.5245142	11.6472882	11.6259237	12.1966267	10.1000201	10.2606451	10.3371815	10.9036731	10.0425263
case	10.6858949	11.0274679	12.2798738	12.481547	13.3192782	10.8790702	10.6932473	10.9261623	11.1815843	10.0466919
case	10.7473685	11.8014359	12.8056396	12.7908184	13.9551682	10.9655007	11.3044301	10.6861883	11.8733931	11.1385631
case	9.32151525	9.87001329	10.5514855	11.1731995	12.3974641	10.2562141	10.3736144	10.3224391	10.4733424	9.50050701
case	8.97687093	8.12496965	7.64415065	9.93812819	11.4769047	10.6711552	9.82067831	10.9351046	9.39476314	8.52661972
case	10.4597646	11.7673887	12.1906698	11.850347	12.4765872	10.5992025	10.5666344	10.8937323	11.6378258	10.1292972
case	10.6865986	11.7826944	12.3092157	11.7702146	13.3331316	10.227954	10.1322709	9.71821673	10.925326	10.2014807
case	9.94435511	11.0330857	11.1042672	11.6998392	13.2405768	9.55801023	9.14002271	9.28507711	10.9547154	9.61419616
case	10.8473197	11.563048	11.7455945	12.1241569	13.7080482	10.99121	10.3150556	10.6323709	11.4706502	11.0202153
case	10.748826	10.6581865	10.4334196	11.6291908	12.064346	10.253214	10.2463962	9.56688763	10.3889042	9.73945896
case	11.1922127	12.0678504	12.7948867	12.4342615	13.5006266	10.4918731	10.9708012	10.4776611	11.3214552	10.4537316
case	10.8120602	11.8766255	12.1606993	11.6583316	13.173352	10.243249	10.2951375	10.0342487	10.9978111	10.2166658
case	11.5004431	11.8167317	12.0613503	13.2994885	14.0985223	11.6537762	10.8948087	10.9561147	12.0901366	11.3091887
case	10.5162417	11.5995972	11.8451842	11.8201734	13.5460456	10.3063636	10.2696141	10.2907308	11.0856026	9.62557078
case	10.2721247	11.4230823	11.6317991	11.5544003	13.5351174	10.2109087	10.3537015	10.4392626	10.9495955	9.70425486
case	10.543231	11.4606929	12.0895121	11.7557176	13.5566497	10.0330705	10.3011463	10.0423174	11.0765224	10.5983587
case	10.819558	11.6867264	12.3189139	12.9834657	13.8905464	11.5288291	10.8279381	11.3479203	11.9178043	11.1949858
case	9.21089972	9.76831552	9.52479106	10.0302726	11.5387913	9.49484159	9.58632528	9.38296721	9.82327153	8.73308957
case	8.29132774	8.04140782	6.35077073	7.75407041	9.75754136	8.24230287	8.1881833	8.58096664	8.14264778	7.28710563
case	10.2554323	11.7338496	12.2495609	12.1617696	13.9297244	10.4989001	10.2657908	10.7327381	11.2397936	10.3284685
case	11.076674	11.8935469	12.2260292	12.4731697	13.585824	10.778423	11.0394195	10.956729	11.6984468	11.1551819
case	10.324805	12.0172914	12.6686045	12.7992774	13.6254634	10.8756526	10.6428162	10.6309542	11.5332129	10.2771491
case	11.108282	11.7971204	12.0915851	12.3257987	13.1776897	10.9476888	10.9574511	10.4359869	11.3196907	10.6725517
case	11.6111632	11.8257554	12.2958266	12.5060901	14.0185245	11.1203066	11.0708616	11.084451	11.444152	10.7521372
case	11.4656587	12.2552588	12.7761564	13.0239373	13.7048666	10.8363431	11.3316358	11.1439335	11.8940242	11.3591966
case	10.5124689	11.8393806	12.1630181	11.4616288	13.3215265	10.4493849	10.5899282	10.9168468	11.1949944	10.1137448
case	10.777146	11.1835361	11.7870998	12.4497321	13.4573963	10.4476112	10.6089229	10.3432879	11.156511	10.1192835
case	10.5075628	11.8574605	12.7312611	12.0427076	13.3129893	10.3718921	10.4634038	10.2009623	11.3252875	10.3426736
case	10.8236411	10.4847897	9.95639562	11.6421979	12.3379413	10.5043433	11.0068927	10.2217309	10.3319425	9.18940626
case	9.84767518	10.311586	10.3458011	11.4149663	11.3330379	9.85455706	10.2321187	9.98574803	10.5041387	9.63945467
case	10.853998	11.8737905	12.6004119	12.2542258	13.6205246	11.0936618	11.2477816	10.9267185	11.9008917	10.4195779
case	10.9049928	11.2103536	11.7540545	12.4446712	13.6071569	10.8215141	10.8565586	10.3188806	11.4627298	10.6300323
case	11.2058079	12.3050408	13.1769202	12.765751	13.5260688	10.8517319	11.1097327	11.0811512	11.5853161	11.25701
case	9.00776035	7.63209587	5.57538162	6.75877353	10.7969303	8.65774825	8.28174044	7.55310395	7.29802682	7.02018659
case	9.38033984	9.76594061	9.3486558	9.96567189	11.5665479	9.34895184	9.50339306	9.17518125	9.56389885	8.19315374
case	10.9963167	12.0830893	12.3921191	12.3379756	13.9794422	11.0471382	11.0531704	11.0005761	11.6071638	10.4555718
case	10.0905412	10.7814564	11.5508776	11.9497957	13.4309843	9.39434264	9.41828083	10.0549	10.429345	10.154994
case	8.6896846	8.16591194	6.98669308	8.26521089	10.7716256	8.86313439	8.15120533	8.82494761	7.90854634	8.0402404
case	11.2301688	12.1155737	12.2622813	12.9664492	13.6965807	11.3511198	11.2308184	11.2364179	11.7543101	11.1132492
case	8.00060006	8.3403099	6.28108451	7.25503424	9.93319861	8.42907778	8.1856525	9.32741522	7.75826786	7.06999532
case	7.79859881	7.26785973	6.0337441	8.28769391	10.8302022	8.92900506	7.59473216	8.77227201	7.92593476	8.09631088
case	9.24101905	9.4100892	8.46478016	9.79234977	10.5650002	9.07589465	9.206537	8.92967207	9.09276692	8.02056721
case	10.9736443	11.8685151	12.4070319	12.1953513	13.5347527	10.4152707	10.8978606	10.967789	11.3578208	10.5926523
case	9.59162201	6.95977943	4.52870508	7.54030321	10.6818542	9.63375959	9.04528214	9.83493491	5.92698737	7.333828
case	10.9307713	11.1268374	11.7278269	12.0091921	12.8461011	10.2586461	10.4611141	10.1454941	11.2215702	9.92685888
case	10.2316495	11.8043992	11.6607979	11.4831958	13.1445324	10.0698788	10.2932963	10.2491851	10.58315	9.48639881
case	10.6270822	11.4987079	11.7864795	11.9755556	12.4996154	10.7443206	10.8103473	10.3936703	11.1917732	10.4148869
case	10.9316852	11.5859873	11.8986531	11.9799928	13.183216	10.740285	10.7816246	10.6684414	11.2703785	10.4809239
case	10.5417681	10.6380335	11.5482529	11.4696169	13.0233954	10.2440426	10.8604223	10.1975319	11.2611931	10.0112411
case	9.98872292	9.03641167	7.86657142	9.24801535	11.1641218	9.64709247	9.7278452	8.64603952	8.79449159	8.26887055
case	10.8081484	11.6076708	11.1610995	12.3399797	13.3514916	9.97630525	10.3807087	10.4763141	11.3152957	10.0070162
case	10.9702526	12.2994178	12.3995443	12.2200392	13.9534395	10.6556315	10.6408584	10.3068975	11.6039863	10.8707801
case	11.7279708	12.7890438	12.9466937	12.7511903	14.0653659	10.9962738	11.1107312	10.983514	12.12004	11.5895805
case	10.9063637	12.651836	11.9567483	12.7481024	14.1821649	10.8877968	11.1056247	10.8375732	11.4253583	10.7030499
case	11.436723	12.4143395	13.129871	12.8571904	13.7877018	11.3160324	11.0983294	10.8983343	12.5711665	11.4515215
case	9.84738279	10.434932	9.78763187	10.3617964	12.2313543	9.71080708	9.40903428	9.86398537	9.54089058	9.01156421
case	10.6034181	10.9855981	11.306179	11.5639814	12.6175016	10.7076659	10.7861914	10.8006369	10.9857638	10.4944953
case	9.64701197	8.17417583	6.47917682	8.63164211	11.177604	8.59640209	9.5271375	7.75540214	8.08243049	8.63049125
case	10.7201708	11.9877231	12.0926285	12.2282568	12.5750661	10.9992915	10.9737213	10.6337951	10.7976381	10.29725
case	11.8214822	12.6541314	13.4757357	12.6177743	14.208735	11.0281757	11.8997283	11.4107536	12.7288209	11.2970287
case	10.340614	11.7279724	12.3612774	11.9727189	13.3909455	11.17085	10.4511161	10.3818971	11.3058579	10.1415103
case	9.06799262	9.81594337	9.22103224	9.79360777	12.7663472	9.81588321	9.28506933	9.21689718	9.25867608	9.27250282
case	11.2172089	12.3931742	12.8504025	12.2736436	14.0278431	10.8720435	11.1362833	10.7237234	11.8526508	10.8363624
case	9.72354548	10.7758285	10.5894548	10.3519164	13.1248776	10.423451	10.4350641	10.2492867	9.772666	9.12588255
case	10.4131626	11.795087	12.2620059	12.1167943	13.5956253	10.9045167	10.5344172	10.7993016	11.7184784	9.81038491
case	10.3927028	10.7286944	10.7132599	11.0821169	12.3723016	9.8499111	10.3708192	9.75919453	10.7788725	9.17297222
case	11.2349438	12.1727258	12.1065722	12.1638244	13.5126718	10.910371	11.1494174	11.0805449	11.5887569	10.4761669
case	10.8531542	12.2810536	12.3887537	12.2595257	13.1517707	10.56676	11.163985	10.9674172	11.5503389	10.136886
case	9.53727693	10.628836	11.389305	11.4184316	13.5060983	9.59940592	10.3856119	10.2254626	10.420622	9.69859873
case	10.9974123	12.0588017	11.9149049	12.3068541	13.5519992	10.7773858	11.3968204	10.5043783	11.2332923	10.4125155
case	10.4521298	11.6465051	11.80044	11.069887	12.2333211	10.4411194	10.578594	10.0923788	11.1302905	9.8718648
case	8.80018311	9.00836321	7.88519932	8.3596228	10.9583048	8.51971757	9.20756824	8.47908257	9.07599126	8.06550259
case	10.9282519	11.5133797	12.5566767	11.7881015	12.8424194	9.99274811	10.6685154	10.021433	11.2447754	10.3628163
case	11.7111295	12.6356756	13.3073523	12.9850545	14.0774608	11.4689764	11.3854629	11.8845871	11.7742961	10.9169259
case	11.2019031	11.4689609	12.3063106	12.0962633	12.7920873	10.9263816	10.9683014	10.8633057	11.7136083	10.5188838
case	9.04967934	10.6406268	9.80446193	10.4697236	12.6290944	9.99794991	9.71366702	9.67398345	10.2464522	9.77619953
case	10.8248427	11.7883067	12.1371646	12.505787	13.7113038	11.1675837	11.2616148	10.7308501	11.855327	10.9154442
case	10.0678528	10.8185806	10.9364667	10.9430361	13.0569578	9.43540867	9.86959147	9.60140539	9.83944949	9.45313362
case	9.41842675	10.0786895	10.7389634	11.1494445	12.1744783	10.0230409	10.3962926	9.91983449	10.045907	10.3034538
case	10.7229632	11.5230118	11.9193226	11.7403552	14.0480108	11.2096707	11.023987	10.8953564	11.2069465	10.0852809
case	10.485557	11.6708296	11.8723404	12.2383832	13.4518114	10.6830009	10.3528335	11.1321728	11.668029	10.6247438
case	9.69699324	11.5540422	11.3059295	11.8499638	13.3405309	10.1665055	10.4794001	10.7734555	11.2064245	9.7074418
case	10.8699975	12.4572131	13.1604368	12.5058577	13.9330212	11.1814365	10.6419981	11.1483223	11.3505945	10.6734687
case	11.689482	12.5917918	12.9939938	12.5281147	14.2285042	11.4638743	11.4187831	11.8662535	12.1972328	11.6045084
case	11.0785773	11.9264843	12.5748945	13.114307	13.8026247	11.4158026	11.3835544	11.4119895	12.4941158	11.6711504
case	10.7312474	12.396792	13.0847915	12.9148894	13.3793	11.3782125	11.2920712	11.2018011	11.8900129	10.834536
case	10.2046724	11.7268	12.0637177	12.1060839	11.1917895	10.4173599	10.3623527	10.4816942	11.244993	10.3837798
case	10.5774032	11.5917546	12.1286337	12.1099501	13.7514971	10.6504884	11.1062898	10.378267	11.5826893	10.5748667
case	11.6761625	12.8089221	13.4062437	13.1833443	14.6677526	11.3903217	11.438839	11.1177829	12.2620819	11.9037415
case	7.15877323	7.66979467	6.92508417	7.60735127	10.1866014	8.18952692	8.54011894	8.10365642	8.17480093	7.41502687
case	8.15418137	8.34765825	7.51965943	8.07777783	8.58458564	8.95152944	8.7261581	8.56106309	9.15927057	8.83201263
case	10.8641391	11.8848223	12.3240681	12.9922675	13.1841839	10.7952286	11.3414446	10.2655245	11.7301037	10.6666787
case	10.774429	11.8202119	12.3501843	12.1598258	13.5726784	11.2019412	10.8705387	10.4056675	12.4943042	10.3950994
case	11.4155355	12.849494	13.539506	13.1228549	13.7853754	11.4599779	11.952942	11.5867387	12.5643423	11.6755354
case	11.2401093	11.7612588	12.3131099	12.0536316	13.3629542	10.6280182	10.3805485	10.9686896	11.3988465	10.3069999
case	10.0342348	10.8287862	11.4418302	12.0047711	13.1910701	10.5557371	10.9158261	10.2847824	11.238642	10.3553173
case	8.42650535	8.27655873	6.82205752	8.70703768	10.1935928	8.65612902	9.16371544	8.71527555	8.74527796	8.26072863
case	10.781387	12.3001717	12.7418913	12.0865991	13.8275289	10.7840533	11.0243469	10.3456568	12.1098275	10.5376378
case	10.0095477	12.1339789	12.8095295	11.6111973	13.0987838	10.6189013	10.6543949	10.7195146	11.5057746	10.1146806
case	10.8260495	12.1093561	12.3996035	12.5091353	14.2224665	11.1719338	11.0086486	11.0856486	11.635298	11.1051074
case	10.0952287	11.8488303	12.0053811	10.6265195	12.4947568	10.2232886	10.2491755	10.0863809	11.3956536	9.34447234
case	8.70492087	7.51341311	7.56216423	9.31560974	12.8246096	9.96701506	9.55396883	9.44477338	8.21213753	8.92561238
case	10.9284996	12.8060861	13.3216696	12.7174037	13.9649295	11.4259236	11.5098832	11.4668426	12.1718525	11.1593633
case	10.8837189	12.0064164	12.4268585	12.1662628	13.7745333	10.8369509	10.6069649	10.6787796	12.1303603	10.6270213
case	10.3303179	12.2013995	12.4457254	12.363238	12.6666571	10.6858922	10.7346197	10.8843103	10.9960953	10.4179545
case	10.4410291	11.5629639	11.6956614	11.5556553	12.7138731	10.3169921	10.4072664	10.5957481	11.1257144	10.2455872
case	11.1675279	12.6845988	12.847993	12.9606696	13.9975262	11.579239	11.02571	11.1647406	12.2304716	11.5162511
case	10.3151009	10.5609633	10.7445929	11.2603578	12.8541742	10.2669247	10.5750002	10.0079228	10.7568844	9.45494915
case	12.536511	12.5916948	12.4846611	13.1096507	14.1046364	11.8243133	11.8283827	10.6316476	12.2575712	11.5247165
case	9.02938841	9.21331316	9.34860635	10.0715793	11.5549472	9.74587284	9.81922476	8.98819218	9.66901554	8.57578452
case	10.6586103	12.283941	11.9074665	11.5682349	13.8162788	10.2880407	10.6376722	10.6385595	11.1946342	10.2719148
case	10.9474096	12.328437	12.4462033	12.3226231	13.9588948	10.6473913	10.4082814	11.3243572	11.7268731	10.4720197
case	11.628065	12.8527588	13.2889944	12.7317919	14.2280461	11.8230341	11.3597925	10.9110216	12.1569892	11.2524952
case	11.4373072	12.7954832	12.6576552	12.6323377	13.8518843	11.4887738	11.4299022	11.0720202	12.630362	10.9876615
case	11.2910378	12.2241283	12.9389327	12.7779303	14.0605959	11.5023933	11.5026205	11.0688043	12.1125536	11.1932542
case	10.3032224	11.4716877	12.2069144	11.4315704	13.3171154	10.3229079	10.2203661	10.2469581	10.8305946	10.2644439
case	10.5109174	11.3788888	10.5678063	11.2925558	13.2442235	10.5419474	10.9613666	10.6431081	10.5895669	10.0291173
case	10.725242	12.192436	11.952365	11.9346573	13.8877118	11.0744537	11.5725755	11.4522753	11.5497761	10.6124181
case	11.1007784	12.3857858	12.6816312	12.3994312	13.9738762	11.2409115	11.3173055	10.9592371	11.9426311	10.7165326
case	10.21806	11.999721	12.0412856	12.1329403	13.515548	10.7047974	10.6208135	10.0898159	11.4400669	9.62044165
case	8.0774857	8.77704548	7.2066599	8.54488545	11.4339321	9.16020174	9.11354662	8.40572938	9.23433116	7.91458249
case	11.4248219	12.2015429	12.2461364	12.055188	13.4852276	11.0605191	11.1593976	10.8695763	11.345374	10.600995
case	9.86541737	9.81261484	8.94980613	9.85920299	11.6356895	9.4204909	10.2702638	8.83239016	9.15147037	8.59316595
case	10.9532546	11.8855072	11.8036362	11.539402	12.8520026	9.81884203	10.1001588	10.338006	11.5196266	9.77203996
case	11.799132	12.2661812	12.7326678	13.2440169	13.5511825	11.530356	11.4424537	11.0847313	12.3928706	11.1749084
case	10.3391557	11.572012	12.2054799	11.5969878	11.3205665	10.0853218	10.5015227	10.1267527	11.205002	10.5875651
case	10.8493217	11.1158024	11.9301286	11.9006366	12.841999	10.4765195	10.8519671	10.5281349	11.4084342	10.0887516
case	8.36205924	8.33351132	6.56217455	6.59490189	9.56414086	8.30576049	8.75955108	8.46218751	8.66655164	7.75332774
case	8.97583749	9.92504179	9.11606868	9.80325643	11.1061389	9.45540878	9.79658642	9.86634269	10.1371356	8.95251998
case	11.0891762	12.2621509	12.6526961	12.8133813	13.727057	11.5056112	11.6794012	11.610194	12.1539621	11.4763093
case	10.5283933	9.31445879	9.47741994	10.2357005	11.0709984	10.3045359	10.4000717	10.0222047	9.88134393	9.39056243
case	10.5944196	12.0014623	12.3694234	11.8669658	13.4919806	10.8115619	10.5865174	10.7487609	11.7523903	10.7892204
case	10.9006718	12.0502232	12.0050125	11.5993988	13.2733817	10.4665128	10.5571935	10.335528	11.400347	10.3877483
case	10.8208139	11.9907703	12.1768538	12.4648387	14.3427204	10.9162387	10.7297169	10.6522247	11.9549187	9.76764214
case	10.2577787	11.5313358	11.4131926	11.4056901	12.7892503	10.416335	11.0206321	10.2181605	10.3403497	9.75337489
case	10.666951	12.05005	11.7263791	11.535136	13.0964079	10.1636011	10.7407151	10.0141409	11.1175578	10.0827211
case	10.2140664	11.7035602	12.2870392	11.2207291	13.8343104	10.5851404	9.7789274	10.2318122	11.4773663	9.84352696
case	10.6771526	12.2846945	11.9770246	12.6329735	11.8249699	11.1701399	11.5608203	11.19285	11.7005329	11.3008527
case	11.1407736	12.7427524	12.7218525	12.3145193	13.3165936	10.738973	11.2841603	11.0772418	11.7177762	10.768341
case	10.7128035	12.0647265	12.3433739	12.0281594	13.610049	10.9033497	10.5920159	10.699977	11.5193378	10.4161978
case	11.2162988	11.9954149	12.5891497	12.3975307	14.3139961	11.1174744	11.2579275	10.8670224	11.7662068	10.7281358
case	10.9413677	12.5966182	13.0351269	12.3952047	13.895327	11.4048639	11.3235413	10.5624477	11.753182	10.7343531
case	10.3901521	11.8820907	11.8870545	11.8187624	13.5480705	10.1492389	10.6967591	10.323702	11.9124004	10.2946731
case	11.6959831	12.111305	12.6464584	12.7147449	14.1033363	11.3450087	11.3243018	11.3884848	11.7710605	10.9585118
case	11.3374872	11.9066192	12.0337061	11.6831354	13.119297	10.5761211	10.0052051	9.94115323	11.5380206	9.73178433
