group	EIF2AK2	IFI44	IFI44L	IFIT3	IFITM3	PARP9	PRIC285	TRIM22	XAF1	ZBP1
case	11.0531578	12.6698536	12.5741866	12.0887224	13.7969812	11.1024962	11.322659	10.8322982	11.566634	11.1527782
case	11.0192116	11.9555879	11.9833582	12.3638902	12.6296506	11.1603173	11.4112876	11.2554178	11.4880772	10.5466302
case	11.5528376	11.9451934	12.9780863	12.6309535	13.5786493	11.4731212	11.6874515	10.9437501	12.2706876	11.5884572
case	10.0256	10.4670251	10.3852625	10.7682986	11.6820049	9.88130114	9.87051114	10.1176118	9.50673573	9.09727155
case	10.2453106	10.7975299	9.69615081	10.4631717	12.8955181	10.1871183	10.1373391	9.17514428	10.3669639	9.21034621
case	10.7985254	12.2371115	12.5261235	12.161396	13.5173754	10.7963837	10.4821629	10.8824076	11.4465649	9.92891494
case	10.6555254	11.8120331	12.7343199	12.4789857	13.4980212	10.8442251	11.1706696	10.643973	11.9117115	10.9145014
case	11.0534159	12.7322074	13.278289	12.49553	13.6875199	11.0885523	10.5403999	11.0126292	12.2029521	11.0185125
case	11.3772686	12.2852646	12.678372	12.8455185	13.5530954	11.0883853	11.1931409	10.9098281	11.7530893	10.9651171
case	9.68650741	10.8409847	11.6259406	10.7176773	13.5072772	10.4239026	10.2804079	10.4286473	10.7892359	9.33544041
case	10.3864417	11.4516523	11.5943561	11.6459176	12.8634531	10.3765562	10.8927819	10.4694368	11.4563985	9.91597948
case	10.2747077	11.8134817	11.5427736	11.5194809	13.2038263	10.2256975	10.04922	10.889695	11.5323911	10.2490952
case	10.5917389	11.3199433	11.1810498	11.9639227	13.8143805	10.9702074	10.560789	10.2559543	11.6192305	10.301539
case	10.2071889	11.2683903	10.7420645	11.7922975	13.5250365	10.6750219	10.6492242	10.3596222	10.705915	10.1761881
case	10.002209	11.4542166	11.7580097	11.6245752	12.9889179	10.5823952	10.5072117	10.1561769	11.2424521	9.96627345
case	11.5150134	12.3052247	13.0523413	13.1480596	13.8237864	11.6704045	12.1177555	11.3892002	12.2414503	11.566929
case	9.29042871	10.7299472	10.3630667	11.3659609	13.1237158	10.1626031	9.84643874	10.2495519	10.5003495	9.41593532
case	11.2544356	12.9796447	13.0471339	12.6335478	13.7988097	11.3645863	11.7871552	11.520656	12.3265172	11.0024409
case	11.7111242	13.3124436	13.6762885	13.5071534	14.2432088	12.0544897	11.9665894	11.9590156	12.720957	11.7516833
case	10.7680831	11.5661805	11.8642181	11.6459712	11.6474608	10.2301667	10.8590207	10.0243986	11.3722552	10.2848802
case	10.2114751	12.0483093	12.7136953	11.7177011	12.9396644	10.6517843	10.3185239	10.7580905	11.5741817	10.5463406
case	11.3695127	12.4662192	11.892167	12.4518271	13.8910791	10.5724554	10.651245	10.5982942	11.802692	11.1156674
case	11.2254024	11.3804107	12.5193864	11.9249217	13.6432761	10.9054629	10.3480714	10.9485262	11.4245777	10.3051428
case	10.6004351	11.9488399	11.8317166	11.8925392	13.1607558	10.5205317	10.6952579	10.7100557	10.9206555	10.6015385
case	10.3232654	11.2733695	12.6622427	12.312959	12.7676985	9.76050888	10.752787	10.0425195	11.4701628	10.186672
case	9.86199618	10.990695	11.1246747	11.3078702	13.1156626	9.96644331	10.3188813	10.232476	10.5232692	10.0201381
case	10.2018336	10.9997721	10.695694	11.0755703	13.3323704	10.7948537	10.0200087	10.3154992	10.1525802	9.43442299
case	10.1113157	10.0992857	10.2917078	11.1672225	12.9497362	10.7435687	10.2117016	10.1323061	10.2750288	9.19863923
case	10.2867008	12.1880621	12.3953332	11.5539232	13.0524106	10.368498	10.3029633	10.4960149	11.3042172	10.5322435
case	11.0314002	12.0200276	12.5989517	11.9425114	13.0510501	10.2904049	10.9293962	10.7446796	11.6895329	10.2986921
case	10.7771916	11.8659729	12.7473027	12.3052982	13.0898962	10.5819385	10.8212697	10.4892273	11.4116415	11.0746027
case	10.1566962	11.0383522	11.4457544	10.8269349	11.5454962	9.80558182	10.2069402	10.129601	10.8596858	9.50944258
case	10.4528662	11.9678719	12.0555929	12.0917597	12.5804512	10.5434004	10.6152163	10.5254968	11.8361689	10.2609484
case	9.88245381	10.5296704	10.524383	10.3371796	11.373054	9.40609175	9.91242093	9.47869314	9.62414027	9.62879333
case	11.5623561	12.6783035	13.506976	12.8363887	14.0092669	11.334427	10.9888962	11.0378729	12.0979549	11.3170542
case	11.292316	11.8797214	11.8599725	11.697025	12.6023268	9.64597277	10.0897482	9.6132311	11.7236672	9.64547479
case	9.53977936	9.65312431	8.77364571	9.0127721	11.0050066	9.06790557	9.47881306	8.85737989	9.62060564	8.55582801
case	10.2948091	11.4985451	11.6653811	11.5530343	13.1194055	10.671619	10.2342207	10.5407143	10.9859686	10.0771697
case	8.9805611	9.15117825	8.38519764	9.63869665	8.91405225	8.53978025	9.56747253	9.0641232	8.87913974	7.34018106
case	10.4832585	12.4305702	12.6739831	12.0912271	13.1254694	10.897642	11.0655281	10.6334033	11.5870821	10.5279943
case	11.6426854	12.4610062	12.868285	12.7919773	13.7461797	11.6196913	11.6076498	11.3586567	12.0050793	11.2282572
case	10.5424121	11.6530927	11.9107851	11.9632341	13.3608499	10.3076893	10.6936119	10.1950733	11.5852736	10.2616398
case	10.2699266	12.272482	13.154211	12.0764218	13.9930207	11.2364526	11.1371902	11.152922	12.284477	10.5191775
case	10.9516976	11.7225107	12.2622343	12.4258547	14.1540611	10.7382535	11.4131289	10.9457033	11.6034539	10.4075106
case	10.2512631	12.1141195	11.5334567	12.0441695	13.1363667	10.7687441	10.715687	10.6367979	11.2102703	9.78279763
case	10.9385669	11.8149476	12.6732129	12.3206241	13.3449787	10.6728581	11.0563771	10.953821	11.6811615	10.8821635
case	9.99321962	10.3668209	10.6790095	10.8470437	12.528283	10.0430116	10.4244113	9.72976877	10.7661929	9.87882127
case	11.4455773	12.1888164	12.0681057	12.0561357	13.1887765	10.8772994	11.0428191	10.6974776	11.25967	10.6243456
case	10.7067999	11.3317566	11.9967077	11.5037107	12.7827691	10.429353	10.5047397	10.3089541	11.2081599	9.92530324
case	11.4990436	12.9548772	13.3643049	13.0922877	14.029009	11.793794	10.9447607	11.170648	12.1638805	11.2769461
case	10.4977562	11.9402457	11.6270155	11.9257291	13.2518782	10.6291265	10.5488672	10.6146313	10.972568	10.1908279
case	11.4897487	12.3720624	12.736148	12.5468416	13.3441068	10.6123061	10.5963652	10.7192651	11.861895	10.575634
case	10.6403437	11.814436	12.6623057	12.7406954	13.8064515	11.0629967	10.9185207	11.307863	12.0011527	10.9193928
case	10.5864359	11.002424	10.4702509	10.8178835	12.6203156	10.2924252	10.4119095	10.0822776	10.7070835	9.46452702
case	11.3473687	12.6152265	12.20653	12.5780748	13.9549179	11.0706516	10.5085506	10.5084525	11.378487	10.7435868
case	10.6321507	12.2152357	12.4856298	12.5384602	13.2744391	10.6954953	11.1007701	10.4913895	11.3063908	10.7015655
case	9.58487019	11.0432784	10.590416	10.7777913	12.4735019	10.0020663	9.3578734	9.73006955	10.6160141	9.20399246
case	10.2280225	11.8392046	11.1271112	11.6118134	13.4471602	10.7678446	10.1511752	10.8124762	11.3858291	10.2411451
case	9.03767246	9.9778781	10.2205258	9.73642812	11.4752698	9.43904594	9.43813896	9.32029918	9.7528924	8.88343304
case	11.4166441	12.0757698	11.8301799	12.2733171	13.0248224	10.5752069	10.5244375	10.2409517	11.3555751	9.87613066
case	10.0251832	11.4454351	11.5721659	11.1615936	13.1199149	10.5278589	10.131796	10.3130732	10.8256773	9.57853405
case	10.3108212	10.6399336	10.4030772	11.6304025	13.3088398	11.1173102	10.3867546	10.2413352	10.9859004	9.48481112
case	11.7220723	12.4661104	12.8916356	12.7019234	13.4063558	11.3763749	11.4330447	10.9760306	11.9293847	10.7997754
case	9.82483096	11.0912151	11.2863488	10.7426154	11.6097994	10.361794	10.0080389	10.4910022	10.6157639	9.36496831
case	11.0751092	12.8747528	12.8951834	12.9323398	13.9487864	11.6062449	11.4520785	11.5268796	12.2499953	10.8735201
case	10.8609493	12.1841915	12.9218976	12.2850278	13.287911	10.4582857	11.0029288	10.5519854	11.5342891	10.7141016
case	10.2520791	11.7818527	11.9840792	11.3436347	12.7759169	10.2889691	9.94168489	10.2289541	10.9359055	9.80267578
case	11.9834069	12.7210666	13.4706422	12.9998634	13.8963302	11.5329698	11.6641218	11.5050653	11.8345999	11.2945427
case	9.21860585	9.83928833	9.06344376	10.2353534	11.8097746	9.10359198	8.77752742	9.50275317	9.77648727	8.7728465
case	11.2235199	12.1590627	12.817573	11.7655527	13.4703418	10.6443038	10.7162567	11.0010647	11.7385598	10.7925567
case	11.1496354	11.8496499	12.5957953	12.1901242	14.069493	11.170494	10.4341679	10.5771259	11.6368053	10.6543933
case	9.93781476	11.5286444	12.0321868	11.7536513	12.6725931	10.2492779	10.3319676	10.2845217	11.2773888	10.1329518
case	11.1404795	12.2898121	12.7339177	12.5248818	14.0049195	11.1498993	11.1108755	11.4142708	11.5110797	11.2058453
case	11.1748412	12.0393098	12.3847716	12.5135973	14.0718705	10.8378661	11.1895217	11.5049392	11.2133548	11.0608943
case	9.03481346	8.9524695	8.85060343	8.6858172	10.2477449	8.70361114	9.03656601	9.23454272	9.47160773	7.90306732
case	11.0826554	11.5448689	11.8798485	12.0940268	12.9479266	10.8201768	11.01155	10.2942575	11.5370679	10.3752627
case	11.2260718	12.7429172	13.2637991	12.4673028	13.8786033	11.380439	11.4346194	11.2573435	12.2695635	11.186881
case	11.7725118	12.3682558	12.7951625	13.2092326	13.5488611	11.3602835	11.407606	11.7088849	11.799819	11.7484679
case	10.0866076	11.9692644	11.5320874	11.9432154	12.3654395	10.7451642	10.687451	10.5083709	11.4265375	10.381358
case	10.1075874	11.8843562	12.7557348	12.1492179	13.2203852	10.6839336	10.9059327	10.7071371	12.0201668	10.0968231
case	10.0962759	11.5719576	11.7816935	11.7759714	12.7503424	10.2613567	10.1335938	10.5053024	11.083568	9.68029242
case	11.2320651	13.0595874	13.0745762	13.1406871	14.3650241	11.2276829	10.852406	11.1666002	12.1653207	10.9532764
case	8.03396887	9.01790396	6.60916004	8.72583771	10.9355563	9.25588646	9.08725695	9.38617604	9.15923553	8.24787688
case	10.6797876	12.0523626	11.9736384	11.9758362	12.9225896	10.8191401	10.408596	10.8279607	11.1537217	10.3322822
case	10.856065	12.0513974	12.0898899	11.817979	13.7147023	10.7890573	10.651154	10.6869592	10.9282161	10.2822375
case	9.57909046	9.97704691	8.79996285	10.3769125	12.8011263	9.88541535	9.92910245	9.53085047	10.503102	9.10419788
case	10.8085887	11.9303949	12.2290166	12.0761568	13.1980403	10.7631704	11.1926036	11.2983169	11.8321566	10.5367135
case	10.8087386	12.1255303	12.6301699	12.378049	14.090097	10.6670669	10.944603	10.7472096	11.4802124	10.6248897
case	10.5870061	11.8398026	12.621309	11.993881	13.5864737	11.3962995	11.3395136	10.6770312	11.7784977	10.8487603
case	11.0210139	12.7001352	13.1118337	11.153504	13.3888838	10.623556	10.247877	10.1521249	11.5957096	10.2973383
case	10.8843477	11.568642	11.4465427	11.865153	13.3210974	10.1845042	10.2533274	10.6199134	10.9458888	10.1212323
case	8.63466142	9.38770171	8.94435264	9.96996917	10.3074347	9.30865076	9.15680692	9.46745133	9.83008035	8.85791092
case	9.78431105	9.51184743	8.98237096	10.2071287	12.3063451	10.005798	10.6864577	9.14875031	9.26061479	9.17039727
case	10.7436936	11.2601632	12.1170752	11.9709604	13.2642784	10.1768568	10.6765936	10.4445502	11.7221704	10.3830974
case	10.6482096	11.6897672	11.86816	11.7786522	13.2554712	10.5980663	10.7548702	10.4249775	11.7982326	10.029171
case	11.0884442	12.455205	12.7364407	12.0430038	13.1818732	10.233067	11.1288902	10.8810009	11.4950426	11.0661893
case	11.2752605	12.2720579	12.5758184	12.9910384	13.6967568	11.1973546	11.7383272	11.182978	12.1431344	10.884274
case	11.373881	12.6431542	12.8200059	12.9244212	13.8054525	11.5401208	11.38878	11.0827211	12.4449936	11.5647593
case	10.5551711	11.5141573	11.5751188	10.9173292	13.4473561	9.73845725	10.4847517	9.74699539	11.4810511	9.97543249
case	10.5009314	12.0597282	12.3425003	11.931195	13.1430475	10.7640405	11.0342075	10.5762044	11.3348135	10.8904271
case	11.1606252	12.0721398	12.11364	12.2959694	13.5710886	10.5784542	10.7010135	10.9131664	11.9187391	10.925089
case	11.5073757	12.8542783	12.9955254	12.7593517	14.1247365	11.6403273	11.6014552	10.8092633	12.3321701	11.3970595
case	10.6826005	12.1855779	12.0057828	11.4677543	13.0796142	10.601052	10.814231	10.2206516	11.123962	10.4033371
case	9.51753685	9.75137753	9.2997515	9.79201146	11.1521748	9.9065692	9.53328623	9.25313326	9.84658103	8.73652557
case	11.2185107	12.1177038	12.2964442	12.2315302	13.6167689	11.0942585	11.2421267	11.2085954	11.7164851	10.0553625
case	10.7397915	12.2942624	12.5193475	12.6804791	13.405891	10.7267962	10.7919215	10.3452583	11.1578356	10.6563494
case	9.23207104	9.681144	8.7087413	10.1562662	11.4025681	9.82366954	9.83970907	9.7556929	9.35411772	8.61099328
case	10.6727626	11.8191709	11.850412	11.9693318	12.7957041	10.692658	10.7947635	10.7527596	11.7904574	10.3534156
case	9.25658588	9.79257508	9.14548861	9.84159035	11.7842695	9.33803696	9.30649128	9.1005678	9.63642243	8.87566568
case	8.68728663	8.33227583	7.98781908	9.25949962	12.1558123	9.34117758	9.3596288	8.92808241	9.19116358	8.70762775
case	10.8886558	11.6003934	12.0211953	12.0228061	13.7155267	10.5977904	10.8117604	10.315035	11.900137	10.2302817
case	10.540711	11.3907618	11.886223	11.9399539	12.4775874	10.5330925	10.6712948	10.5489996	10.4552997	10.1882964
case	10.9788933	11.6408239	12.4219512	12.4198832	13.0924037	11.021545	10.8973052	10.6514021	11.3763866	10.7344355
case	9.83308052	11.524396	11.3426313	11.4189528	13.0262704	9.91534897	10.4168238	10.5176095	11.0631713	9.93626814
case	10.0204396	11.5154454	11.8095966	11.8959847	13.030988	10.6474529	10.6632388	10.384833	10.9281307	10.4225524
case	10.6792184	11.9227315	11.9031535	11.7060851	14.1585914	10.6388224	10.744567	11.0133183	11.4911914	10.4962334
case	10.4857527	12.3802463	12.4398807	12.6413406	14.0465201	11.0925056	11.0300497	10.4296343	12.1993196	10.70341
case	10.7345487	11.9747733	12.4272679	11.7473744	13.3649348	10.4997828	10.4597272	10.7935697	11.4028893	10.4787689
case	10.1356345	10.7514524	11.1428035	11.6272437	13.2972325	10.005086	9.98092826	9.81437878	10.5990742	9.98091445
case	8.8881821	9.51195563	8.64932146	9.60577613	11.2355737	8.87264083	9.41100851	9.35541847	9.21976148	8.13569385
case	11.1701717	12.2447677	12.2478881	12.240271	13.7324112	10.9022378	10.6895858	10.3786294	11.3805107	10.6097606
case	10.8801917	11.9141989	12.2520442	12.488037	13.4328022	10.77073	10.437346	10.6022132	11.3977616	10.8108827
case	10.4205261	12.1855834	12.6504444	11.70389	13.5991939	11.1221117	10.5728408	10.7012758	11.3063887	10.0281125
case	10.5278542	11.109084	10.7263951	11.2622708	12.6549079	10.747322	10.8717465	10.0474133	10.6787263	10.0177458
case	11.2213731	12.9277379	13.3926612	12.9872175	13.9270775	11.3931185	11.3968557	10.7666349	12.1775109	11.6640324
case	10.3861975	11.4786447	11.62894	12.2687808	13.5221098	10.352979	10.3767971	10.6501546	11.0049117	10.163999
case	8.62903883	8.60873659	8.17960559	9.81701573	12.6223171	10.0745502	9.97316044	9.63236457	9.11508247	9.1895461
case	9.16753963	10.5478534	12.2526895	11.8945669	13.7062383	10.5369167	10.9787356	10.7025824	11.3020209	10.0614121
case	9.41091379	10.4720482	11.6222514	11.6157973	13.5255286	9.95610184	10.5432703	10.8446751	10.6546054	10.012694
case	10.3347285	11.644876	12.3370915	11.8563616	13.2304735	11.0168438	10.6707425	10.6270733	11.7786995	10.6022421
case	10.7772809	11.1253339	12.119471	11.9570188	13.5690147	10.1584784	10.4807661	10.371985	11.7489474	9.9555455
case	8.87105145	9.06120155	8.45208335	9.66603802	11.920837	9.07003994	8.64488796	9.59466141	8.70022818	8.38547372
case	9.82825744	11.179762	11.7073028	11.6234047	12.801258	10.35666	10.3224922	10.3640683	10.9089744	9.78135343
case	9.27513035	9.89705846	9.92373501	10.6691692	12.1635764	9.93401368	10.3037434	10.1108091	9.96764575	9.16810664
case	10.7142936	12.2135412	12.6324465	11.677784	14.0372431	10.9544596	10.9622016	10.6908316	11.4061955	10.5376927
case	10.1933668	11.1322241	11.3239921	12.0318786	13.7392418	11.2486666	10.8222793	10.412251	11.2836765	10.1659355
case	10.7481607	12.3072951	12.6534316	12.8332021	13.905137	10.9224903	10.9631035	11.0013378	11.7448361	10.955981
case	10.9811309	12.317166	12.0026912	12.2933291	13.2059789	10.656456	10.5930025	10.9070713	11.2279738	10.7110438
case	9.65097215	12.1986013	12.3758659	11.7443607	13.6147164	10.7789328	10.7002609	10.5261598	11.2155796	9.60057243
case	10.6371929	12.2900546	12.5865885	12.9151172	13.8473052	11.1474851	10.9015562	10.3968582	11.3437596	10.9007661
case	9.98517474	11.9660535	12.0631806	12.393046	13.5454903	10.6859128	10.2750986	10.6406086	11.9019576	9.58279278
case	11.8579371	11.729968	12.5102516	12.6891516	13.8814562	11.1375734	10.5717928	9.82894074	11.6433598	10.9568158
case	10.7551916	11.9443434	11.6950293	10.9478635	13.0152172	10.2375896	10.6338966	10.4663231	10.8587278	10.1932102
case	11.1190471	12.8475793	12.7769696	13.0987749	14.4396564	11.2045902	11.0936607	11.6637859	11.799579	11.2114862
case	10.9876459	12.0523426	11.5597443	12.1727293	13.5059111	10.7155864	10.8283091	9.94004605	10.8647389	10.0797078
case	9.90053414	9.22219789	8.95721698	10.2762781	11.3502289	9.5346222	9.47946188	9.19372206	8.76060368	8.76321558
case	11.3255952	12.2966491	12.2458812	12.4042974	14.1494112	10.8496602	10.7757952	11.2181495	11.7969543	11.0413666
case	10.75716	12.277051	12.2225764	12.2237266	13.5887	10.8764564	10.937676	11.0715442	11.3943057	10.505153
case	8.62188816	8.68864652	8.13256304	7.48321733	9.86552795	8.75282444	9.4109537	9.00735778	9.53630476	8.17901019
case	9.90486433	11.0307008	11.2169006	11.622823	13.2964392	10.6706043	10.3912427	10.2790158	10.9961372	10.0060605
case	10.7660597	11.2862074	11.4639698	11.9373272	13.2701087	10.6927744	10.8625885	10.2743297	11.239291	10.2299776
case	10.3101708	11.9603289	11.7740388	11.9033365	13.4222897	10.9573465	9.87285165	11.1337866	11.1197231	10.0822375
case	11.2353212	12.8114938	13.3624475	12.7550939	14.0836278	11.9574407	11.684733	11.510679	12.0298867	10.9767283
case	10.102828	11.1976414	10.7289663	11.2327202	12.2160909	9.47051954	10.1408095	9.90744298	10.9351482	9.44947984
case	11.5839557	12.664061	13.3059627	12.511504	14.1605703	11.0952484	11.3335805	10.9002205	12.4357286	10.9319111
case	10.6421269	11.6514512	10.9146809	11.7552724	13.1638409	10.2511269	10.3326675	10.5414672	11.2238753	9.96670016
case	8.75648274	8.41197796	7.14478351	8.54594324	11.6769164	9.38598139	9.52078969	8.60757981	7.96232492	8.59411809
case	10.1179596	11.6257511	12.2596452	11.7965164	12.6948755	10.4512927	11.018621	10.5127003	11.645738	9.57884508
case	10.4533613	11.5851484	12.1412961	11.8430547	13.0534724	10.2425735	10.8885353	10.2257443	11.63582	10.2877077
case	10.7566344	11.687468	12.404356	12.3096171	13.2581732	10.2623363	10.4626673	9.88284787	11.5478855	10.4842977
case	10.2371184	11.4750975	11.6743432	11.8936	12.7885853	9.88770428	10.28538	10.488736	11.1438875	10.0137235
case	9.73560343	10.8692038	10.3904654	10.7819605	12.4635609	9.96232258	9.38099566	9.46164595	10.0466894	8.71390085
case	9.62996538	10.6514958	11.2246499	11.6686769	12.7787128	9.97389948	10.1100504	9.21332246	10.7764464	9.18754032
case	8.53307229	9.40272257	8.55854388	9.52288177	11.7184802	9.67485385	9.30802758	9.0827178	9.59849152	8.76333457
case	10.8408261	12.1178777	12.3336233	11.3740107	13.5774141	10.7088833	10.6438347	10.2506386	11.7872306	9.8510498
case	11.6308871	12.4737531	13.0391862	12.1960954	13.5191822	11.6367275	11.3666388	10.8569799	12.3630982	11.1116718
case	10.3135646	11.541781	12.9627092	11.8639157	13.6554143	10.6276888	10.6158064	11.129425	11.9010944	10.9117238
case	10.3049898	10.0187979	9.29644042	9.75086529	11.4998813	9.68423429	10.363357	10.4641949	9.93837271	9.32068841
case	11.3725438	11.7785417	11.7428848	11.0682148	13.2450621	10.3401561	9.8379445	9.35356947	11.2752451	10.2988812
case	9.67217188	10.7624668	10.7686684	10.1508146	11.8292832	10.2476204	9.89902606	9.71039873	10.3377753	9.00891068
case	9.64748965	10.4938424	10.1582379	10.1213403	11.6195248	9.77958489	9.99359249	8.90299513	9.67350614	8.99889661
case	10.360935	11.8461531	11.6104471	11.4183924	13.5592276	10.5127701	9.34981496	10.5901114	10.4806703	9.48204574
case	11.6040797	12.727509	12.9014488	12.6341414	13.9297052	12.1279176	11.6974408	11.0115267	12.5314548	11.2147217
case	10.3802949	11.4246299	11.2475787	11.2828548	12.4316991	10.5022798	10.1445045	10.7779669	11.1195718	9.75739356
case	11.2493808	12.1296826	12.4863498	11.9584008	12.8417689	10.5301535	11.0083185	10.391819	11.1484746	10.3048299
case	10.454585	12.1598063	12.2921913	12.4226708	12.9034952	10.7949529	11.2041713	11.2271265	11.9744464	10.7428312
