GSE65391	GSE72509
NCR3	PLD4
KLRB1	GATA2
CD40LG	PTGDR2
ID3	ND4L
LOC100128771	CYTB
LOC729423	ND4
MAN1C1	LYPD2
LOC728453	ALOX15
LOC440311	PRSS33
HNRPA1L-2	
LOC388275	
LOC100130775	
KLF12	
LOC642989	
LOC651149	
LTBP3	
AFF3	
LOC100130562	
BACH2	
KLRC3	
TMEM204	
C16orf30	
CXCR5	
FCER1A	
LOC100132499	
FCER2	
FAM102A	
HLA-DOA	
C2orf89	
D4S234E	
LRRN3	
TCL1A	
LOC100132673	
FCGBP	
FCRLA	
LOC642073	
VPREB3	
