id	GSE65391	GSE72509
EIF2AK2	1.635249214	1.907566499
IFI44	2.57898984	3.511288431
IFI44L	3.573604484	3.715732199
IFIT3	2.472772328	2.570317403
IFITM3	2.235142849	2.321566267
ODF3B	1.213585142	1.3556462
PARP9	1.412706578	1.286213629
PRIC285	1.383438621	1.481038552
TRIM22	1.365191964	1.563482309
XAF1	1.909176065	2.118263983
ZBP1	1.747893625	1.641675644
ZZ	0.1	0.1
