EIF2AK2,IFI44,IFI44L,IFIT3,IFITM3,PARP9,PRIC285,TRIM22,XAF1,ZBP1
1,0.877938864598091,0.86322702736621,0.87922886661653,0.774882026625275,0.819957733976802,0.850718342294705,0.752814512631831,0.852836908127204,0.873911404212078
0.877938864598091,1,0.965182004808782,0.914213374551279,0.82910789339014,0.845244257272826,0.82656890389555,0.836947821020873,0.930566076337955,0.880092801035429
0.86322702736621,0.965182004808782,1,0.929769573585809,0.828229026604172,0.841639307989859,0.831079679800224,0.834210736971246,0.940243276213948,0.881442295005319
0.87922886661653,0.914213374551279,0.929769573585809,1,0.851212716891918,0.881616060312228,0.869488945031375,0.840296254129784,0.915942967848089,0.912279450455784
0.774882026625275,0.82910789339014,0.828229026604172,0.851212716891918,1,0.825162235001647,0.756465727570251,0.775299612778761,0.812300372103391,0.818631541654795
0.819957733976802,0.845244257272826,0.841639307989859,0.881616060312228,0.825162235001647,1,0.856330190930169,0.849139895451528,0.853191765740727,0.871308115574397
0.850718342294705,0.82656890389555,0.831079679800224,0.869488945031375,0.756465727570251,0.856330190930169,1,0.789012485311572,0.842587574100698,0.878704901253861
0.752814512631831,0.836947821020873,0.834210736971246,0.840296254129784,0.775299612778761,0.849139895451528,0.789012485311572,1,0.81635511818255,0.818547139196751
0.852836908127204,0.930566076337955,0.940243276213948,0.915942967848089,0.812300372103391,0.853191765740727,0.842587574100698,0.81635511818255,1,0.881129828830476
0.873911404212078,0.880092801035429,0.881442295005319,0.912279450455784,0.818631541654795,0.871308115574397,0.878704901253861,0.818547139196751,0.881129828830476,1
